"","checklist_id","SCIENTIFIC.NAME","OBSERVATION.COUNT","LATITUDE","LONGITUDE","OBSERVATION.DATE","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","DURATION.MINUTES","EFFORT.DISTANCE.KM","GROUP.IDENTIFIER","cell"
"1","S34066155","Buteo buteo","2",52.9656361,0.6068444,"2017-01-21","obsr608730","S34066155",90,"2.7","NA",101733244
"2","S33635315","Limosa limosa","2",52.9656361,0.6068444,"2017-01-12","obsr277657","S33635315",110,"3.219","NA",101733244
"3","S33408836","Rallus aquaticus","X",52.9656361,0.6068444,"2017-01-03","obsr221472","S33408836",180,"2.5","NA",101733244
"4","S34011499","Charadrius hiaticula","1",52.9656361,0.6068444,"2017-01-28","obsr277657","S34011499",140,"4.828","NA",101733244
"5","S37490002","Fulmarus glacialis","2",52.9656361,0.6068444,"2017-01-20","obsr502956","S37490002",180,"2","NA",101733244
"6","S36512859","Podiceps grisegena","1",52.9656361,0.6068444,"2017-02-02","obsr290777","S36512859",210,"3","NA",101733244
"7","S34583499","Anas platyrhynchos","X",52.9656361,0.6068444,"2017-02-20","obsr778288","S34583499",255,"4","NA",101733244
"8","S125034619","Anas acuta","2",52.9656361,0.6068444,"2017-01-10","obsr1513752","S125034619",180,"3","NA",101733244
"9","S34573893","Calidris pugnax","10",52.9586717,1.0574451,"2017-02-18","obsr296329","S34573893",240,"4.828","NA",101769359
"10","S34326048","Dendrocopos major","1",52.9656361,0.6068444,"2017-02-11","obsr648417","S34326048",120,"3.219","NA",101733244
"11","S40062468","Turdus merula","X",52.9586717,1.0574451,"2017-01-29","obsr939124","S40062468",90,"1","NA",101769359
"12","S41026638","Cyanistes caeruleus","1",52.9656361,0.6068444,"2017-12-09","obsr328880","S41026638",90,"3.219","NA",101733244
"13","S40062468","Larus marinus","X",52.9586717,1.0574451,"2017-01-29","obsr939124","S40062468",90,"1","NA",101769359
"14","S34195478","Botaurus stellaris","1",52.9656361,0.6068444,"2017-02-05","obsr278275","S34195478",120,"3","NA",101733244
"15","S34066155","Anthus petrosus","1",52.9656361,0.6068444,"2017-01-21","obsr608730","S34066155",90,"2.7","NA",101733244
"16","S34180722","Prunella modularis","1",52.9656361,0.6068444,"2017-02-05","obsr399070","S34180722",135,"3","NA",101733244
"17","S33635315","Ichthyaetus melanocephalus","1",52.9656361,0.6068444,"2017-01-12","obsr277657","S33635315",110,"3.219","NA",101733244
"18","S41026638","Fulica atra","1",52.9656361,0.6068444,"2017-12-09","obsr328880","S41026638",90,"3.219","NA",101733244
"19","S33635315","Vanellus vanellus","X",52.9656361,0.6068444,"2017-01-12","obsr277657","S33635315",110,"3.219","NA",101733244
"20","S33461351","Anser anser","2",52.9656361,0.6068444,"2017-01-05","obsr648811","S33461351",50,"2","NA",101733244
"21","S33408836","Anas platyrhynchos","X",52.9656361,0.6068444,"2017-01-03","obsr221472","S33408836",180,"2.5","NA",101733244
"22","S34011499","Uria aalge","1",52.9656361,0.6068444,"2017-01-28","obsr277657","S34011499",140,"4.828","NA",101733244
"23","S33635315","Calidris alpina","X",52.9656361,0.6068444,"2017-01-12","obsr277657","S33635315",110,"3.219","NA",101733244
"24","S41276792","Calidris alpina","3",52.9656361,0.6068444,"2017-12-23","obsr20091","S41276792",136,"3.621","NA",101733244
"25","S34264003","Tachybaptus ruficollis","2",52.9656361,0.6068444,"2017-02-08","obsr339095","S34264003",65,"1.609","NA",101733244
"26","S34816856","Clangula hyemalis","2",52.9656361,0.6068444,"2017-02-25","obsr356533","S34816856",180,"3","NA",101733244
"27","S40027913","Arenaria interpres","X",52.9656361,0.6068444,"2017-01-02","obsr939124","S40027913",120,"1","NA",101733244
"28","S34066155","Gavia stellata","8",52.9656361,0.6068444,"2017-01-21","obsr608730","S34066155",90,"2.7","NA",101733244
"29","S33635315","Egretta garzetta","1",52.9656361,0.6068444,"2017-01-12","obsr277657","S33635315",110,"3.219","NA",101733244
"30","S33909215","Lymnocryptes minimus","1",52.9656361,0.6068444,"2017-01-22","obsr648044","S33909215",180,"2.414","NA",101733244
"31","S40028997","Alopochen aegyptiaca","X",52.9656361,0.6068444,"2017-01-08","obsr939124","S40028997",90,"1","NA",101733244
"32","S34816856","Limosa limosa","5",52.9656361,0.6068444,"2017-02-25","obsr356533","S34816856",180,"3","NA",101733244
"33","S33560329","Branta canadensis","12",52.9586717,1.0574451,"2017-01-09","obsr753610","S33560329",90,"3.219","NA",101769359
"34","S33746269","Tachybaptus ruficollis","X",52.9656361,0.6068444,"2017-01-17","obsr427634","S33746269",300,"3","NA",101733244
"35","S33909215","Anas crecca","80",52.9656361,0.6068444,"2017-01-22","obsr648044","S33909215",180,"2.414","NA",101733244
"36","S33882554","Calidris pugnax","1",52.9656361,0.6068444,"2017-01-21","obsr648044","S33882554",200,"2.414","NA",101733244
"37","S33427972","Mareca penelope","X",52.9586717,1.0574451,"2017-01-04","obsr221472","S33427972",60,"NA","NA",101769359
"38","S34816856","Calidris alba","5",52.9656361,0.6068444,"2017-02-25","obsr356533","S34816856",180,"3","NA",101733244
"39","S41129680","Pluvialis squatarola","X",52.9656361,0.6068444,"2017-12-15","obsr648811","S41129680",65,"1","NA",101733244
"40","S41276792","Columba palumbus","150",52.9656361,0.6068444,"2017-12-23","obsr20091","S41276792",136,"3.621","NA",101733244
"41","S33858401","Spinus spinus","2",60.1893294,24.8206902,"2017-01-22","obsr523710","S33858401",90,"1","NA",75972255
"42","S34512967","Regulus regulus","4",52.9656361,0.6068444,"2017-02-19","obsr20091","S34512967",169,"2.2","NA",101733244
"43","S40027913","Phalacrocorax carbo","X",52.9656361,0.6068444,"2017-01-02","obsr939124","S40027913",120,"1","NA",101733244
"44","S34011499","Tadorna tadorna","X",52.9656361,0.6068444,"2017-01-28","obsr277657","S34011499",140,"4.828","NA",101733244
"45","S40062468","Mergellus albellus","X",52.9586717,1.0574451,"2017-01-29","obsr939124","S40062468",90,"1","NA",101769359
"46","S34816856","Alauda arvensis","1",52.9656361,0.6068444,"2017-02-25","obsr356533","S34816856",180,"3","NA",101733244
"47","S69667566","Pica pica","1",52.9656361,0.6068444,"2017-02-18","obsr760241","S69667566",60,"1.287","NA",101733244
"48","S34180722","Haematopus ostralegus","5",52.9656361,0.6068444,"2017-02-05","obsr399070","S34180722",135,"3","NA",101733244
"49","S33882554","Charadrius hiaticula","1",52.9656361,0.6068444,"2017-01-21","obsr648044","S33882554",200,"2.414","NA",101733244
"50","S37490002","Mareca penelope","200",52.9656361,0.6068444,"2017-01-20","obsr502956","S37490002",180,"2","NA",101733244
"51","S34326048","Columba palumbus","X",52.9656361,0.6068444,"2017-02-11","obsr648417","S34326048",120,"3.219","NA",101733244
"52","S34180722","Spatula clypeata","20",52.9656361,0.6068444,"2017-02-05","obsr399070","S34180722",135,"3","NA",101733244
"53","S34066155","Anthus pratensis","6",52.9656361,0.6068444,"2017-01-21","obsr608730","S34066155",90,"2.7","NA",101733244
"54","S41322372","Branta bernicla","309",52.9586717,1.0574451,"2017-12-26","obsr939124","S41322372",125,"5","NA",101769359
"55","S34573893","Limosa lapponica","X",52.9586717,1.0574451,"2017-02-18","obsr296329","S34573893",240,"4.828","NA",101769359
"56","S125034619","Anser anser","5",52.9656361,0.6068444,"2017-01-10","obsr1513752","S125034619",180,"3","NA",101733244
"57","S34583499","Streptopelia decaocto","4",52.9656361,0.6068444,"2017-02-20","obsr778288","S34583499",255,"4","NA",101733244
"58","S41251999","Corvus monedula","X",52.9586717,1.0574451,"2017-12-22","obsr278275","S41251999",60,"1","NA",101769359
"59","S34816856","Turdus philomelos","1",52.9656361,0.6068444,"2017-02-25","obsr356533","S34816856",180,"3","NA",101733244
"60","S33746269","Cygnus olor","X",52.9656361,0.6068444,"2017-01-17","obsr427634","S33746269",300,"3","NA",101733244
"61","S34573893","Circus aeruginosus","2",52.9586717,1.0574451,"2017-02-18","obsr296329","S34573893",240,"4.828","NA",101769359
"62","S41129576","Larus marinus","X",52.9586717,1.0574451,"2017-12-15","obsr648811","S41129576",75,"2","NA",101769359
"63","S33909215","Columba palumbus","6",52.9656361,0.6068444,"2017-01-22","obsr648044","S33909215",180,"2.414","NA",101733244
"64","S34512967","Mareca strepera","44",52.9656361,0.6068444,"2017-02-19","obsr20091","S34512967",169,"2.2","NA",101733244
"65","S33909215","Spatula clypeata","40",52.9656361,0.6068444,"2017-01-22","obsr648044","S33909215",180,"2.414","NA",101733244
"66","S33542019","Calidris alpina","40",52.9656361,0.6068444,"2017-01-08","obsr43068","S33542019",105,"3.862","NA",101733244
"67","S34816856","Rallus aquaticus","1",52.9656361,0.6068444,"2017-02-25","obsr356533","S34816856",180,"3","NA",101733244
"68","S34011499","Anas platyrhynchos","X",52.9656361,0.6068444,"2017-01-28","obsr277657","S34011499",140,"4.828","NA",101733244
"69","S34180722","Limosa limosa","10",52.9656361,0.6068444,"2017-02-05","obsr399070","S34180722",135,"3","NA",101733244
"70","S34326048","Ardea cinerea","X",52.9656361,0.6068444,"2017-02-11","obsr648417","S34326048",120,"3.219","NA",101733244
"71","S34583499","Anas acuta","10",52.9656361,0.6068444,"2017-02-20","obsr778288","S34583499",255,"4","NA",101733244
"72","S34180722","Regulus regulus","1",52.9656361,0.6068444,"2017-02-05","obsr399070","S34180722",135,"3","NA",101733244
"73","S41026638","Pica pica","3",52.9656361,0.6068444,"2017-12-09","obsr328880","S41026638",90,"3.219","NA",101733244
"74","S125034619","Anas sp.","10",52.9656361,0.6068444,"2017-01-10","obsr1513752","S125034619",180,"3","NA",101733244
"75","S33746269","Branta bernicla","X",52.9656361,0.6068444,"2017-01-17","obsr427634","S33746269",300,"3","NA",101733244
"76","S125034619","Larus fuscus","1",52.9656361,0.6068444,"2017-01-10","obsr1513752","S125034619",180,"3","NA",101733244
"77","S41286077","Corvus monedula","X",52.9656361,0.6068444,"2017-12-24","obsr278275","S41286077",180,"4","NA",101733244
"78","S33542019","Chroicocephalus ridibundus","400",52.9656361,0.6068444,"2017-01-08","obsr43068","S33542019",105,"3.862","NA",101733244
"79","S120948642","Falco tinnunculus","1",52.959393,1.055202,"2017-12-28","obsr195106","S120948642",120,"NA","NA",101769359
"80","S33635315","Fringilla montifringilla","1",52.9656361,0.6068444,"2017-01-12","obsr277657","S33635315",110,"3.219","NA",101733244
