"","checklist_id","SCIENTIFIC.NAME","OBSERVATION.COUNT","LATITUDE","LONGITUDE","OBSERVATION.DATE","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","DURATION.MINUTES","EFFORT.DISTANCE.KM","GROUP.IDENTIFIER","cell"
"1","S38899898","Chlidonias hybrida","X",-27.2685099,152.8587437,"2017-08-30","obsr427309","S38899898",270,"4","NA",444634688
"2","S37961118","Tachybaptus novaehollandiae","10",-27.2685099,152.8587437,"2017-07-04","obsr450331","S37961118",90,"3","NA",444634688
"3","S37898947","Porphyrio melanotus","2",-27.2685099,152.8587437,"2017-07-01","obsr920222","S37898947",60,"1","NA",444634688
"4","S37654724","Macropygia phasianella","1",-27.2685099,152.8587437,"2017-06-18","obsr836214","S37654724",270,"4.89","NA",444634688
"5","S37806110","Hirundo neoxena","X",-27.2685099,152.8587437,"2017-06-26","obsr427309","S37806110",300,"3","NA",444634688
"6","S38311152","Gallinula tenebrosa","2",-27.2685099,152.8587437,"2017-07-25","obsr836214","S38311152",55,"NA","NA",444634688
"7","S38439215","Numida meleagris","6",-27.2685099,152.8587437,"2017-07-29","obsr277790","S38439215",180,"3","NA",444634688
"8","S38583127","Dacelo novaeguineae","3",-27.2685099,152.8587437,"2017-08-06","obsr277790","S38583127",200,"2.5","NA",444634688
"9","S38570970","Gerygone olivacea","1",-27.2685099,152.8587437,"2017-08-10","obsr450386","S38570970",180,"2","NA",444634688
"10","S37752366","Cracticus nigrogularis","3",-27.2685099,152.8587437,"2017-06-23","obsr450386","S37752366",45,"0.2","NA",444634688
"11","S38155903","Microcarbo melanoleucos","3",-27.2685099,152.8587437,"2017-07-16","obsr678304","S38155903",90,"1","NA",444634688
"12","S38570970","Alectura lathami","2",-27.2685099,152.8587437,"2017-08-10","obsr450386","S38570970",180,"2","NA",444634688
"13","S38899898","Lophoictinia isura","1",-27.2685099,152.8587437,"2017-08-30","obsr427309","S38899898",270,"4","NA",444634688
"14","S37707902","Anas superciliosa","2",-27.2685099,152.8587437,"2017-06-21","obsr450434","S37707902",50,"1.5","NA",444634688
"15","S38598762","Rhipidura leucophrys","4",-27.2685099,152.8587437,"2017-08-12","obsr505689","S38598762",120,"NA","NA",444634688
