"cell_ID","SC_obs","obs.richness","sampsize_obs","SC_80","richness_80","sampsize_80","SC_90","richness_90","sampsize_90","SC_95","richness_95","sampsize_95","SC_97","richness_97","sampsize_97","SC_98","richness_98","sampsize_98","square"
324964638,0.979841045679636,242,191,0.796148959738323,117.690684316261,21,0.899753124513743,160.881711079369,45,0.950241593736063,201.532257238823,91,0.970027424235486,226.977800642934,143,0.980004276078992,242.254467219196,192,"r3c2"
325000721,0.989183579102953,264,187,0.790706823385637,118.217469171005,10,0.901907472738271,155.833825362722,21,0.95020406708684,190.339807207835,42,0.970076426267834,215.828479039522,70,0.980010308350428,235.452568316986,104,"r3c2"
325036803,0.977920980691731,228,161,0.804726777418821,112.968634217999,15,0.900100315368573,142.192218371683,28,0.949853358578875,175.341811403325,58,0.969927130838131,207.00798383647,110,0.979955129821392,233.720625060067,178,"r3c2"
326696825,0.945716251626404,326,134,0.79839620484183,204.579998514609,36,0.900338676992649,268.290307180568,71,0.950077461334118,336.065645968329,149,0.969964643980649,381.965144787071,240,0.974311650203925,391.998009198116,268,"r3c2"
326841135,0.920048539405172,226,69,0.798004104135509,157.861498543914,27,0.899927833911602,209.57846983215,55,0.950289732750941,253.589610450961,102,0.969969822676263,271.544127274135,137,0.970399165958095,271.935825239227,138,"r3c2"
327346141,0.986951972999809,202,251,0.800883968243067,77.079365408423,12,0.899170135909653,106.734343347509,27,0.95016266747637,139.154574536185,60,0.970000295216,162.307500767258,103,0.979965930749954,181.088775612423,158,"r3c2"
327743070,0.978750485445485,329,291,0.802516078275286,146.200195935566,25,0.899136170667573,196.786053117146,52,0.950151568677779,254.383233936184,114,0.969948276764161,298.050127237349,199,0.980015818292204,334.524401606862,311,"r3c2"
327779152,0.917604700408832,208,39,0.802090342622637,148.731029331255,16,0.899515503662688,194.903056136891,32,0.950064897856491,233.340104545068,58,0.969737176289727,248.697299859165,77,0.97052442648571,249.311867971436,78,"r3c2"
333734457,0.881209010921737,212,58,0.797748977516387,170.866619746426,35,0.900134632123123,222.020594340031,66,0.950118381403651,248.48561072202,98,0.966243205111325,257.02326005251,116,0.966243205111325,257.02326005251,116,"r3c2"
338136461,0.960146449528921,209,88,0.798532440633899,119.660827630257,17,0.898705935738249,158.760084387881,35,0.950255311498144,197.431393768457,71,0.970011201988239,221.742517744228,112,0.979955766618689,234.588130625517,146,"r3c2"
339217624,0.840117127291826,231,82,0.800290746117794,195.180369272888,59,0.900400286027398,291.068536704495,136,0.922074464073219,312.665549647961,164,0.922074464073219,312.665549647961,164,0.922074464073219,312.665549647961,164,"r3c2"
339253705,0.944721100846179,361,189,0.800056844762993,215.206763840214,49,0.899596282482143,294.509680931737,103,0.949929227492316,370.94715109368,207,0.969970624057902,409.224791656457,300,0.98000732431202,428.394174563794,374,"r3c2"
340083598,0.893783415316561,213,42,0.795876329724038,156.487916789675,20,0.900481955391481,218.472299658083,45,0.950325155732244,259.191161549164,77,0.957329733966909,264.91347576239,84,0.957329733966909,264.91347576239,84,"r3c2"
350149995,0.94967825429214,211,202,0.801948756266925,118.241328838795,42,0.900317271471176,161.849533102531,92,0.949938810045444,211.320116055617,203,0.970056491967758,236.036488284882,302,0.980026723088106,248.285809281899,380,"r3c2"
351809853,0.93385261397211,274,136,0.799955376712002,146.10295249521,31,0.899839420843456,221.477547587164,79,0.950118355139997,305.580327368656,184,0.969916196625953,344.018312386735,270,0.970267900458306,344.701153829241,272,"r3c2"
352245497,0.67315548610336,208,12,0.80038073600218,253.825735205697,18,0.878083159224655,281.813659570287,24,0.878083159224655,281.813659570287,24,0.878083159224655,281.813659570287,24,0.878083159224655,281.813659570287,24,"r3c2"
352317669,0.796366340841479,240,8,0.796366340841479,240,8,0.905002590350336,284.933395622052,13,0.939878600420077,299.358576583905,16,0.939878600420077,299.358576583905,16,0.939878600420077,299.358576583905,16,"r3c2"
353325366,0.905501337381624,199,87,0.798315483395378,136.530362855269,37,0.899835017221827,194.52875500242,82,0.949964114892462,234.347908121116,142,0.965436640971675,246.64856635409,174,0.965436640971675,246.64856635409,174,"r3c2"
362563909,0.679192138371341,217,19,0.798283308281895,268.014186835935,29,0.867141609231321,297.510498212147,38,0.867141609231321,297.510498212147,38,0.867141609231321,297.510498212147,38,0.867141609231321,297.510498212147,38,"r3c2"
363428557,0.887930457495001,224,34,0.805037492224458,179.424686848083,19,0.898898737635544,232.718288331004,38,0.949554528202098,272.982740199049,65,0.953304619070725,275.963551505947,68,0.953304619070725,275.963551505947,68,"r3c2"
364476148,0.860969989139936,258,37,0.798177236000084,209.646290773848,23,0.899865332771516,294.918061800705,52,0.938120169493625,331.228177470592,74,0.938120169493625,331.228177470592,74,0.938120169493625,331.228177470592,74,"r3c2"
365920037,0.958090895894641,318,64,0.794726767994819,206.730310354829,17,0.898652902161434,263.852673165568,32,0.950224758467502,308.428821189792,56,0.969742137999934,332.995235657217,80,0.979862731356201,346.020514936167,100,"r3c2"
367291164,0.770538531729104,229,26,0.801723388023774,245.021548063924,30,0.900930569883549,295.990281651595,49,0.911210633853939,301.271772688319,52,0.911210633853939,301.271772688319,52,0.911210633853939,301.271772688319,52,"r3c2"
367363327,0.729297733361428,222,52,0.798917812314933,252.325812625627,68,0.896995203737235,295.047346984547,104,0.896995203737235,295.047346984547,104,0.896995203737235,295.047346984547,104,0.896995203737235,295.047346984547,104,"r3c2"
367435491,0.90250083514762,288,33,0.794959854029943,225.014096087614,17,0.899122807017544,282.674649218351,31,0.950664557368609,327.749408339644,53,0.968314408734456,342.315789772044,66,0.968314408734456,342.315789772044,66,"r3c2"
367471572,0.979917904447963,411,270,0.800813255822711,224.450281863686,35,0.90028430572995,288.997671142991,67,0.949857034199183,345.308182597299,123,0.970087690146557,383.953181901609,193,0.980011265233736,411.287545857053,271,"r3c2"
367471573,0.954877242960978,291,76,0.799440935312811,170.790366527541,17,0.90032771337789,231.144104609099,36,0.949753635256007,283.475512556812,69,0.96984781467602,313.635858103942,103,0.979851535245832,328.761719937412,130,"r3c2"
368337503,0.84,189,2,0.84,189,2,0.935055999733299,210.387599939992,3,0.935055999733299,210.387599939992,3,0.973831516345087,219.112091177644,4,0.973831516345087,219.112091177644,4,"r3c2"
