"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","8","6","7","4","5","10","9","11","12","1","2","3","square"
"1",35878658,1,7,77,11,1,1,0,0,0,0,0,0,0,0,0,0,0,"r1c4"
"2",59477868,4,6,192,8,1,0,4,0,0,0,0,0,0,0,0,0,0,"r1c4"
"3",59514004,8,29,27852,162.877192982456,1,0,8,0,0,0,0,0,0,0,0,0,0,"r1c4"
"4",59766938,4,28,10560,96,1,0,4,0,0,0,0,0,0,0,0,0,0,"r1c4"
"5",59766939,4,18,5976,83,1,0,4,0,0,0,0,0,0,0,0,0,0,"r1c4"
"6",59766940,4,17,4012,59,1,0,4,0,0,0,0,0,0,0,0,0,0,"r1c4"
"7",59803080,12,26,10152,54,1,0,12,0,0,0,0,0,0,0,0,0,0,"r1c4"
"8",60525818,1,3,9,3,1,0,0,1,0,0,0,0,0,0,0,0,0,"r1c4"
"9",60525828,1,2,18,9,1,0,0,1,0,0,0,0,0,0,0,0,0,"r1c4"
"10",60525853,1,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"r1c4"
"11",60561946,4,10,4194,127.090909090909,1,0,0,4,0,0,0,0,0,0,0,0,0,"r1c4"
"12",60561950,27,26,8607,38.2533333333333,2,0,10,17,0,0,0,0,0,0,0,0,0,"r1c4"
"13",60561995,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"r1c4"
"14",60598072,1,8,928,116,1,0,0,1,0,0,0,0,0,0,0,0,0,"r1c4"
"15",60634207,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"r1c4"
"16",60634208,1,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"r1c4"
"17",60670330,11,26,14031,85.0363636363636,1,0,0,11,0,0,0,0,0,0,0,0,0,"r1c4"
"18",60706584,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"r1c4"
"19",60959573,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"r1c4"
"20",61284837,2,5,100,10,1,0,0,2,0,0,0,0,0,0,0,0,0,"r1c4"
"21",61320976,1,2,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,"r1c4"
"22",61501680,1,3,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,"r1c4"
"23",61537823,1,3,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,"r1c4"
"24",61754664,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,"r1c4"
