"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","2","6","11","3","7","10","5","4","1","9","12","8","square"
"1",323200204,2,4,225,56.25,2,1,1,0,0,0,0,0,0,0,0,0,0,"r3c3"
"2",323200858,2,5,570,95,1,0,0,2,0,0,0,0,0,0,0,0,0,"r3c3"
"3",323203420,14,11,683,19.5142857142857,3,0,0,0,1,12,1,0,0,0,0,0,0,"r3c3"
"4",323203625,5,19,3088,48.25,1,0,0,0,0,0,0,5,0,0,0,0,0,"r3c3"
"5",323203634,3,10,780,26,1,0,0,0,0,0,0,3,0,0,0,0,0,"r3c3"
"6",323203677,1,2,120,60,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c3"
"7",323203812,1,16,1920,120,1,1,0,0,0,0,0,0,0,0,0,0,0,"r3c3"
"8",323203814,35,40,5203,25.380487804878,8,4,0,5,1,2,0,0,2,3,3,15,0,"r3c3"
"9",323203914,2,15,1203,75.1875,2,0,1,0,0,0,0,0,0,0,0,1,0,"r3c3"
"10",323203925,3,2,21,4.2,2,0,0,0,0,0,0,0,1,0,0,2,0,"r3c3"
"11",323203928,1,10,600,60,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c3"
"12",323203943,6,32,6138,125.265306122449,5,1,0,1,0,0,0,0,2,1,0,1,0,"r3c3"
"13",323239353,4,4,170,24.2857142857143,2,0,2,0,0,0,0,0,0,0,2,0,0,"r3c3"
"14",323239360,2,6,186,20.6666666666667,1,0,0,0,0,0,2,0,0,0,0,0,0,"r3c3"
"15",323239472,1,8,96,12,1,0,0,0,0,0,0,0,0,1,0,0,0,"r3c3"
"16",323239760,3,11,2028,88.1739130434783,2,0,0,0,0,0,0,1,2,0,0,0,0,"r3c3"
"17",323239800,1,33,3960,120,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c3"
"18",323240039,1,4,40,10,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c3"
"19",323275492,8,9,248,13.7777777777778,2,0,0,0,0,6,2,0,0,0,0,0,0,"r3c3"
"20",323275695,1,2,20,10,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c3"
"21",323275900,3,17,668,20.875,1,0,0,0,0,0,0,3,0,0,0,0,0,"r3c3"
"22",323275920,2,26,2548,49,1,0,0,0,0,0,0,2,0,0,0,0,0,"r3c3"
"23",323275961,9,21,2837,67.5476190476191,1,0,9,0,0,0,0,0,0,0,0,0,0,"r3c3"
"24",323276088,1,8,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"r3c3"
"25",323276089,1,3,720,240,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c3"
"26",323311630,3,5,315,21,1,0,0,3,0,0,0,0,0,0,0,0,0,"r3c3"
"27",323311634,3,10,187,17,3,0,0,0,0,0,1,0,0,1,1,0,0,"r3c3"
"28",323311635,3,12,1584,44,1,3,0,0,0,0,0,0,0,0,0,0,0,"r3c3"
"29",323311636,1,9,315,35,1,0,0,0,0,1,0,0,0,0,0,0,0,"r3c3"
