"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","6","7","8","5","10","9","11","12","1","2","3","4","square"
"1",59477868,4,1,32,8,1,4,0,0,0,0,0,0,0,0,0,0,0,"r1c4"
"2",59514004,4,3,2784,232,1,4,0,0,0,0,0,0,0,0,0,0,0,"r1c4"
"3",59766938,4,1,384,96,1,4,0,0,0,0,0,0,0,0,0,0,0,"r1c4"
"4",59766939,4,1,332,83,1,4,0,0,0,0,0,0,0,0,0,0,0,"r1c4"
"5",59766940,4,1,236,59,1,4,0,0,0,0,0,0,0,0,0,0,0,"r1c4"
"6",59803080,12,3,1216,50.6666666666667,1,12,0,0,0,0,0,0,0,0,0,0,0,"r1c4"
"7",60525818,1,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,"r1c4"
"8",60525828,1,1,9,9,1,0,1,0,0,0,0,0,0,0,0,0,0,"r1c4"
"9",60525853,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"r1c4"
"10",60561946,4,6,2352,123.789473684211,1,0,4,0,0,0,0,0,0,0,0,0,0,"r1c4"
"11",60561950,27,18,6945,36.9414893617021,2,10,17,0,0,0,0,0,0,0,0,0,0,"r1c4"
"12",60598072,1,4,464,116,1,0,1,0,0,0,0,0,0,0,0,0,0,"r1c4"
"13",60634208,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"r1c4"
"14",60670330,11,6,3945,80.5102040816327,1,0,11,0,0,0,0,0,0,0,0,0,0,"r1c4"
"15",60706584,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"r1c4"
"16",60959573,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"r1c4"
"17",62766560,3,3,531,59,1,3,0,0,0,0,0,0,0,0,0,0,0,"r1c4"
"18",62802696,3,4,588,49,1,3,0,0,0,0,0,0,0,0,0,0,0,"r1c4"
"19",62802697,4,4,1024,64,1,4,0,0,0,0,0,0,0,0,0,0,0,"r1c4"
"20",62838836,8,5,2160,77.1428571428571,1,8,0,0,0,0,0,0,0,0,0,0,0,"r1c4"
"21",63344782,10,7,2487,51.8125,2,7,3,0,0,0,0,0,0,0,0,0,0,"r1c4"
"22",63380920,1,7,420,60,1,0,1,0,0,0,0,0,0,0,0,0,0,"r1c4"
"23",65987961,1,2,260,130,1,0,0,1,0,0,0,0,0,0,0,0,0,"r1c4"
"24",88393315,5,10,2229,159.214285714286,2,4,0,1,0,0,0,0,0,0,0,0,0,"r1c4"
