"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","4","5","6","7","8","9","10","11","12","1","2","3","square"
"62",324636661,1,3,360,120,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
"63",324672755,1,2,360,180,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
"64",324672756,1,2,120,60,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"65",324672799,45,6,5437,81.1492537313433,10,0,2,4,7,3,5,8,7,6,1,2,0,"r3c1"
"66",324708840,1,1,60,60,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"67",324708894,1,3,180,60,1,0,0,1,0,0,0,0,0,0,0,0,0,"r3c1"
"68",324708928,39,8,11471,107.205607476636,11,1,5,15,1,0,1,6,2,1,5,1,1,"r3c1"
"69",324745076,1,1,120,120,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"70",324781212,77,13,9327,64.7708333333333,12,2,3,25,12,2,2,6,5,6,3,5,6,"r3c1"
"71",324781214,12,5,514,23.3636363636364,6,0,0,0,0,1,4,1,0,3,2,1,0,"r3c1"
"72",324817240,6,4,1180,118,4,0,2,0,0,0,0,0,0,2,1,1,0,"r3c1"
"73",324817352,182,13,16481,42.6968911917098,12,8,14,23,32,11,4,25,23,14,7,5,16,"r3c1"
"74",324817353,4,4,515,64.375,3,0,1,0,2,0,0,0,1,0,0,0,0,"r3c1"
"75",324853489,59,14,10301,88.042735042735,11,3,1,24,5,0,4,4,2,2,2,7,5,"r3c1"
"76",324889626,2,3,270,45,1,0,0,0,0,0,0,2,0,0,0,0,0,"r3c1"
"77",324889627,1,6,660,110,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"78",324925730,6,9,5400,245.454545454545,2,0,0,0,0,0,5,1,0,0,0,0,0,"r3c1"
"79",324925761,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"80",324925762,10,8,1124,48.8695652173913,3,3,5,0,0,0,0,2,0,0,0,0,0,"r3c1"
"81",324925765,32,7,2008,33.4666666666667,9,0,6,1,2,4,3,9,2,0,2,0,3,"r3c1"
