"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","6","9","11","3","7","10","5","4","1","2","12","8","square"
"1",323200204,1,5,300,60,1,5,0,0,0,0,0,0,0,0,0,0,0,"r3c3"
"2",323200858,2,13,4050,238.235294117647,2,0,6,11,0,0,0,0,0,0,0,0,0,"r3c3"
"3",323203420,5,18,591,23.64,3,0,0,0,7,11,5,0,0,0,0,0,0,"r3c3"
"4",323203625,3,37,2815,44.6825396825397,1,0,0,0,0,0,0,37,0,0,0,0,0,"r3c3"
"5",323203634,1,18,468,26,1,0,0,0,0,0,0,18,0,0,0,0,0,"r3c3"
"6",323203677,1,2,120,60,1,0,0,0,0,0,0,0,2,0,0,0,0,"r3c3"
"7",323203814,17,70,4352,30.4335664335664,6,0,0,23,0,0,3,0,13,6,46,31,0,"r3c3"
"8",323203868,2,12,1468,63.8260869565217,1,0,0,0,0,0,0,0,12,0,0,0,0,"r3c3"
"9",323203913,1,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,1,"r3c3"
"10",323203914,1,9,540,60,1,9,0,0,0,0,0,0,0,0,0,0,0,"r3c3"
"11",323203925,2,3,16,4,2,0,0,0,0,0,0,0,1,0,0,3,0,"r3c3"
"12",323203928,1,11,660,60,1,0,11,0,0,0,0,0,0,0,0,0,0,"r3c3"
"13",323203943,4,40,6422,133.791666666667,3,0,0,0,0,0,1,0,36,0,6,0,0,"r3c3"
"14",323203944,1,1,75,75,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c3"
"15",323239353,2,10,265,16.5625,1,10,0,0,0,0,0,0,0,0,0,0,0,"r3c3"
"16",323239760,2,20,2011,83.7916666666667,2,0,0,0,0,0,0,7,17,0,0,0,0,"r3c3"
"17",323239800,1,51,6120,120,1,0,0,0,51,0,0,0,0,0,0,0,0,"r3c3"
"18",323240039,1,12,120,10,1,0,0,0,12,0,0,0,0,0,0,0,0,"r3c3"
"19",323275695,1,13,130,10,1,0,0,0,0,0,0,13,0,0,0,0,0,"r3c3"
"20",323275900,2,31,920,23,1,0,0,0,0,0,0,31,0,0,0,0,0,"r3c3"
"21",323275920,1,34,1666,49,1,0,0,0,0,0,0,34,0,0,0,0,0,"r3c3"
"22",323275961,5,14,845,38.4090909090909,1,14,0,0,0,0,0,0,0,0,0,0,0,"r3c3"
"23",323276089,1,3,720,240,1,3,0,0,0,0,0,0,0,0,0,0,0,"r3c3"
"24",323311630,1,9,189,21,1,0,0,9,0,0,0,0,0,0,0,0,0,"r3c3"
"25",323311634,1,16,192,12,1,0,0,0,0,0,0,0,0,16,0,0,0,"r3c3"
"26",323311831,3,10,147,13.3636363636364,2,0,0,0,0,7,0,0,0,0,0,0,4,"r3c3"
"27",323312058,2,43,945,21,1,0,0,0,0,0,43,0,0,0,0,0,0,"r3c3"
"28",323312059,2,102,12876,100.59375,2,0,0,0,0,0,84,0,44,0,0,0,0,"r3c3"
"29",323312116,1,49,2989,61,1,0,0,0,0,49,0,0,0,0,0,0,0,"r3c3"
"30",323312228,5,43,926,18.156862745098,3,18,0,5,0,26,0,0,0,0,0,0,0,"r3c3"
"31",323312345,1,9,810,90,1,9,0,0,0,0,0,0,0,0,0,0,0,"r3c3"
"32",323312349,1,16,960,60,1,0,0,0,16,0,0,0,0,0,0,0,0,"r3c3"
"33",323345693,5,46,9748,118.878048780488,2,0,0,0,0,0,31,0,0,0,0,33,0,"r3c3"
"34",323347780,9,102,20419,150.139705882353,6,12,0,0,0,19,94,0,0,1,1,5,0,"r3c3"
"35",323348184,1,39,2340,60,1,0,0,0,0,0,0,0,0,0,39,0,0,"r3c3"
"36",323348239,1,2,256,128,1,0,0,0,0,0,0,0,0,0,0,0,2,"r3c3"
"37",323348286,3,22,6120,185.454545454545,1,0,0,0,0,0,0,0,22,0,0,0,0,"r3c3"
"38",323348365,1,10,200,20,1,0,0,0,0,0,0,0,0,0,0,10,0,"r3c3"
"39",323348399,1,22,1540,70,1,22,0,0,0,0,0,0,0,0,0,0,0,"r3c3"
"40",323348455,1,6,198,33,1,0,0,0,0,0,0,0,0,0,0,0,6,"r3c3"
"41",323348476,1,18,1350,75,1,0,0,0,0,0,18,0,0,0,0,0,0,"r3c3"
"42",323348483,24,103,31656,101.461538461538,7,0,24,0,0,0,51,33,20,49,44,0,23,"r3c3"
"43",323383907,2,23,248,10.7826086956522,1,23,0,0,0,0,0,0,0,0,0,0,0,"r3c3"
"44",323384311,1,52,8528,164,1,0,0,0,0,0,0,0,52,0,0,0,0,"r3c3"
"45",323384321,1,24,1200,50,1,0,0,0,0,0,0,0,24,0,0,0,0,"r3c3"
"46",323384333,2,37,920,22.4390243902439,2,0,0,0,0,0,7,0,0,34,0,0,0,"r3c3"
"47",323384382,1,8,240,30,1,0,0,0,8,0,0,0,0,0,0,0,0,"r3c3"
