"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","10","7","1","12","11","4","5","9","6","2","3","8","square"
"1",486428937,1,5,425,85,1,1,0,0,0,0,0,0,0,0,0,0,0,"r4c2"
"2",486465021,1,3,24,8,1,0,1,0,0,0,0,0,0,0,0,0,0,"r4c2"
"3",486465073,4,6,986,61.625,1,0,0,4,0,0,0,0,0,0,0,0,0,"r4c2"
"4",486465083,2,1,132,66,1,0,0,0,2,0,0,0,0,0,0,0,0,"r4c2"
"5",486465084,1,11,1210,110,1,0,0,0,0,1,0,0,0,0,0,0,0,"r4c2"
"6",486465085,7,9,1514,39.8421052631579,2,0,0,0,0,4,3,0,0,0,0,0,0,"r4c2"
"7",486465086,4,8,2400,75,1,0,0,0,0,4,0,0,0,0,0,0,0,"r4c2"
"8",486500585,2,1,10,5,1,0,0,0,0,0,2,0,0,0,0,0,0,"r4c2"
"9",486501219,12,20,3350,50.7575757575758,4,7,0,1,0,0,0,1,3,0,0,0,0,"r4c2"
"10",486537357,8,15,2729,68.225,5,1,0,0,0,0,2,2,2,1,0,0,0,"r4c2"
"11",486573495,2,5,329,47,1,0,0,0,0,0,0,2,0,0,0,0,0,"r4c2"
"12",486609130,3,5,600,40,1,0,0,3,0,0,0,0,0,0,0,0,0,"r4c2"
"13",486609574,4,8,458,50.8888888888889,2,3,0,0,0,1,0,0,0,0,0,0,0,"r4c2"
"14",486609577,7,12,1340,63.8095238095238,2,6,0,0,0,1,0,0,0,0,0,0,0,"r4c2"
"15",486609643,7,5,1742,102.470588235294,1,0,0,0,0,7,0,0,0,0,0,0,0,"r4c2"
"16",486645007,1,1,30,30,1,0,0,0,0,1,0,0,0,0,0,0,0,"r4c2"
"17",486645170,2,6,660,55,1,0,0,0,2,0,0,0,0,0,0,0,0,"r4c2"
"18",486645703,1,5,150,30,1,0,0,0,0,1,0,0,0,0,0,0,0,"r4c2"
"19",486645705,4,2,8,1,1,0,0,0,0,0,0,4,0,0,0,0,0,"r4c2"
"20",486645781,7,11,3430,98,3,1,0,0,0,5,0,0,1,0,0,0,0,"r4c2"
"21",486681842,54,38,15371,55.8945454545455,10,9,7,3,2,13,1,0,15,0,1,1,2,"r4c2"
"22",486681846,2,2,92,23,1,0,0,0,2,0,0,0,0,0,0,0,0,"r4c2"
"23",486717978,5,10,192,8.72727272727273,2,4,0,0,1,0,0,0,0,0,0,0,0,"r4c2"
"24",486717979,2,3,150,25,1,0,0,2,0,0,0,0,0,0,0,0,0,"r4c2"
"25",486717982,5,15,1492,64.8695652173913,4,2,1,0,0,1,0,0,1,0,0,0,0,"r4c2"
