"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","11","6","1","12","9","10","5","2","3","4","7","8","square"
"1",517447420,1,2,20,10,1,1,0,0,0,0,0,0,0,0,0,0,0,"r4c4"
"2",517447455,1,1,14,14,1,0,1,0,0,0,0,0,0,0,0,0,0,"r4c4"
"3",517447467,1,6,30,5,1,0,0,1,0,0,0,0,0,0,0,0,0,"r4c4"
"4",517447478,3,11,445,24.7222222222222,2,2,0,0,1,0,0,0,0,0,0,0,0,"r4c4"
"5",517447491,6,17,903,28.21875,3,0,0,3,0,2,1,0,0,0,0,0,0,"r4c4"
"6",517447492,1,11,583,53,1,0,0,0,0,0,0,1,0,0,0,0,0,"r4c4"
"7",517447526,3,17,232,11.6,3,0,0,0,0,0,1,0,1,1,0,0,0,"r4c4"
"8",517447535,2,16,668,31.8095238095238,2,0,0,0,0,0,0,0,1,1,0,0,0,"r4c4"
"9",517447536,2,19,992,45.0909090909091,2,0,0,0,0,0,0,0,1,1,0,0,0,"r4c4"
"10",517447540,1,1,39,39,1,1,0,0,0,0,0,0,0,0,0,0,0,"r4c4"
"11",517447541,5,6,239,26.5555555555556,2,4,0,0,0,0,0,0,0,0,1,0,0,"r4c4"
"12",517447549,11,33,2784,21.9212598425197,7,0,1,0,0,0,0,1,4,1,2,1,1,"r4c4"
"13",517447551,14,24,1634,13.7310924369748,9,0,2,1,1,1,0,2,2,2,0,1,2,"r4c4"
"14",517447552,2,13,258,16.125,2,1,0,0,0,0,0,0,1,0,0,0,0,"r4c4"
"15",517447554,2,18,2260,94.1666666666667,2,0,0,0,0,0,0,0,0,0,0,1,1,"r4c4"
"16",517447555,1,10,600,60,1,0,0,0,0,0,0,1,0,0,0,0,0,"r4c4"
"17",517447562,1,16,832,52,1,0,0,0,1,0,0,0,0,0,0,0,0,"r4c4"
"18",517447577,11,12,281,7.025,7,0,3,1,3,1,1,0,0,0,1,1,0,"r4c4"
"19",517447585,2,16,435,14.0322580645161,1,0,0,0,0,0,2,0,0,0,0,0,0,"r4c4"
"20",517447588,19,34,3033,18.7222222222222,8,0,0,0,4,1,2,0,3,3,2,3,1,"r4c4"
