"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","3","10","6","2","4","5","7","8","11","12","1","9","square"
"63",324202976,2,12,1290,99.2307692307692,2,0,0,0,0,0,0,1,0,0,0,0,1,"r3c1"
"64",324202977,246,47,203688,109.568585260893,12,14,34,52,22,10,12,14,35,19,12,16,6,"r3c1"
"65",324202978,24,21,8493,69.0487804878049,7,0,0,0,6,0,3,9,1,2,0,1,2,"r3c1"
"66",324239030,6,32,8865,180.918367346939,4,0,0,0,0,0,3,1,0,1,1,0,0,"r3c1"
"67",324239035,1,10,90,9,1,0,0,0,0,0,0,0,0,0,0,0,1,"r3c1"
"68",324239114,109,47,100756,123.475490196078,12,7,12,6,4,6,6,23,21,6,3,8,7,"r3c1"
"69",324239115,10,19,8489,88.4270833333333,5,0,0,5,2,0,1,0,0,1,0,1,0,"r3c1"
"70",324275226,2,5,450,45,1,2,0,0,0,0,0,0,0,0,0,0,0,"r3c1"
"71",324311308,7,14,1286,33.8421052631579,4,1,2,0,0,0,0,0,0,1,0,3,0,"r3c1"
"72",324311393,2,4,20,2.85714285714286,1,0,0,0,0,0,0,0,0,0,2,0,0,"r3c1"
"73",324347501,11,24,10132,104.453608247423,6,0,3,0,2,0,1,0,1,2,0,0,2,"r3c1"
"74",324347516,1,8,720,90,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"75",324383632,2,7,210,30,2,0,1,0,0,0,1,0,0,0,0,0,0,"r3c1"
"76",324383680,1,3,15,5,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"77",324419776,2,17,720,37.8947368421053,1,0,0,0,2,0,0,0,0,0,0,0,0,"r3c1"
"78",324419823,2,12,1740,96.6666666666667,2,0,1,0,0,0,0,0,0,0,0,1,0,"r3c1"
"79",324455940,1,13,1170,90,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"80",324455942,31,20,4903,25.9417989417989,10,2,6,9,1,4,1,2,2,0,3,1,0,"r3c1"
"81",324528216,146,50,114992,94.1785421785422,12,6,34,12,6,25,13,5,12,9,7,9,8,"r3c1"
"82",324528217,1,6,108,18,1,0,0,0,0,0,1,0,0,0,0,0,0,"r3c1"
"83",324564262,19,35,18788,117.425,10,1,4,6,0,0,1,2,1,1,1,1,1,"r3c1"
"84",324564384,1,8,160,20,1,0,0,0,0,1,0,0,0,0,0,0,0,"r3c1"
"85",324600428,148,57,150758,103.542582417582,12,8,16,12,16,10,11,28,7,14,13,4,9,"r3c1"
"86",324600451,1,3,45,15,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"87",324600480,1,5,450,90,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"88",324600493,1,3,15,5,1,0,0,0,0,0,1,0,0,0,0,0,0,"r3c1"
"89",324600522,299,60,413272,118.28048082427,12,29,31,46,20,16,32,45,16,21,11,17,15,"r3c1"
"90",324600523,1,7,581,83,1,0,0,0,0,0,0,0,0,0,1,0,0,"r3c1"
"91",324636565,130,50,152401,116.514525993884,12,12,14,21,13,9,13,12,9,7,8,4,8,"r3c1"
"92",324636566,5,28,6690,113.389830508475,3,0,0,1,3,0,1,0,0,0,0,0,0,"r3c1"
"93",324636618,259,62,279173,92.964701964702,12,19,38,34,26,19,14,37,18,17,9,10,18,"r3c1"
"94",324636623,1,3,48,16,1,1,0,0,0,0,0,0,0,0,0,0,0,"r3c1"
"95",324636625,4,23,2160,65.4545454545455,2,0,0,0,0,0,1,3,0,0,0,0,0,"r3c1"
"96",324636638,1,5,80,16,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c1"
"97",324636645,6,15,2620,67.1794871794872,6,1,1,0,0,1,0,0,1,1,1,0,0,"r3c1"
"98",324636660,146,55,192912,110.29845626072,12,6,25,25,9,6,14,11,17,18,6,3,6,"r3c1"
"99",324636661,3,25,3484,112.387096774194,3,1,0,1,0,0,0,0,0,0,0,1,0,"r3c1"
"100",324672698,3,2,42,7,1,0,0,0,3,0,0,0,0,0,0,0,0,"r3c1"
"101",324672755,1,14,2520,180,1,0,0,0,0,0,0,0,0,0,0,1,0,"r3c1"
"102",324672756,1,3,180,60,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"103",324672793,1,4,180,45,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c1"
"104",324672797,3,4,120,10,1,0,0,0,0,0,0,0,0,0,0,3,0,"r3c1"
"105",324672799,78,46,77422,83.4288793103448,12,8,9,7,7,4,5,7,5,10,7,1,8,"r3c1"
"106",324708840,6,18,2250,51.1363636363636,4,1,2,0,0,0,2,0,0,0,1,0,0,"r3c1"
"107",324708894,2,8,330,41.25,1,0,0,2,0,0,0,0,0,0,0,0,0,"r3c1"
"108",324708928,76,39,64168,73.1676168757127,12,8,8,17,3,3,9,5,1,6,2,10,4,"r3c1"
"109",324708936,1,6,180,30,1,1,0,0,0,0,0,0,0,0,0,0,0,"r3c1"
