"","abslat","urban2","estimate","p.value","s.value","conf.low","conf.high"
"1",0,"Natural",194.172435718779,0,Inf,191.188388694194,197.179590100335
"2",0,"Suburban",153.091645311658,0,Inf,148.986881891229,157.252188468365
"3",0,"Urban",130.832881851603,0,Inf,126.281478238568,135.464860108191
"4",5,"Natural",186.430485411244,0,Inf,183.862129050201,189.016656153341
"5",5,"Suburban",147.653889451069,0,Inf,144.128039849966,151.222346451769
"6",5,"Urban",127.078714727458,0,Inf,123.161673295232,131.057073813749
"7",10,"Natural",178.84603257049,0,Inf,176.673980733903,181.031354695751
"8",10,"Suburban",142.314461254446,0,Inf,139.340374162087,145.319953597109
"9",10,"Urban",123.37919624107,0,Inf,120.061806117767,126.741794805327
"10",15,"Natural",171.419077196517,0,Inf,169.621477694395,173.226151778268
"11",15,"Suburban",137.073360721791,0,Inf,134.618938411425,139.549956320875
"12",15,"Urban",119.734326392437,0,Inf,116.971576172397,122.529323585038
"13",20,"Natural",164.149619289324,0,Inf,162.70005889255,165.605608438569
"14",20,"Suburban",131.930587853103,0,Inf,129.954469383662,133.921617825455
"15",20,"Urban",116.144105181559,0,Inf,113.872563598723,118.438080038483
"16",25,"Natural",157.037658848912,0,Inf,155.900627476416,158.17882152993
"17",25,"Suburban",126.886142648381,0,Inf,125.328495878127,128.453409346372
"18",25,"Urban",112.608532608437,0,Inf,110.731988008145,114.500844530213
"19",30,"Natural",150.083195875281,0,Inf,149.204002104462,150.964972393908
"20",30,"Suburban",121.940025107627,0,Inf,120.703785652279,123.182563087154
"21",30,"Urban",109.127608673071,0,Inf,107.498667829008,110.768798658035
"22",35,"Natural",143.286230368431,0,Inf,142.572294268405,144.001949537724
"23",35,"Suburban",117.09223523084,0,Inf,116.018333215214,118.171084562523
"24",35,"Urban",105.70133337546,0,Inf,104.12259847715,107.291946991002
"25",40,"Natural",136.646762328362,0,Inf,135.959573859053,137.335683071209
"26",40,"Suburban",112.34277301802,0,Inf,111.227224315837,113.463888015627
"27",40,"Urban",102.329706715605,0,Inf,100.605128608361,104.068940874103
