"","abslat","urban2","estimate","p.value","s.value","conf.low","conf.high"
"8820",70,"Urban",85.2454182034334,0,Inf,81.0053260143393,89.5936681417231
"8821",0,"Natural",213.225690238087,0,Inf,207.448605842117,219.082114584552
"8822",0,"Suburban",149.606624229859,0,Inf,145.289946256155,153.986492857027
"8823",0,"Urban",128.64822759449,0,Inf,123.924155478656,133.460665703555
"8824",5,"Natural",203.404790364107,0,Inf,198.4304467656,208.440714033189
"8825",5,"Suburban",144.559766243815,0,Inf,140.85048219196,148.317259388659
"8826",5,"Urban",125.29339936959,0,Inf,121.225158699536,129.428781877912
"8827",10,"Natural",193.81542294069,0,Inf,189.600996779545,198.076174515838
"8828",10,"Suburban",139.599500917329,0,Inf,136.470020027799,142.764458252244
"8829",10,"Urban",121.982893785594,0,Inf,118.535905358977,125.479285167067
"8830",15,"Natural",184.457587967839,0,Inf,180.954902005198,187.993849933288
"8831",15,"Suburban",134.725828250399,0,Inf,132.143265402466,137.333383827657
"8832",15,"Urban",118.716710842503,0,Inf,115.845404538977,121.623166508256
"8833",20,"Natural",175.331285445551,0,Inf,172.482602104429,178.203300612003
"8834",20,"Suburban",129.938748243027,0,Inf,127.860261520917,132.033992893203
"8835",20,"Urban",115.494850540317,0,Inf,113.133905999658,117.880176124801
"8836",25,"Natural",166.436515373828,0,Inf,164.16605614963,168.722567476961
"8837",25,"Suburban",125.238260895212,0,Inf,123.601042906143,126.886250943648
"8838",25,"Urban",112.317312879036,0,Inf,110.366064523055,114.285659247794
"8839",30,"Natural",157.77327775267,0,Inf,155.97047497042,159.586439704375
"8840",30,"Suburban",120.624366206955,0,Inf,119.325113484538,121.930654035312
"8841",30,"Urban",109.184097858659,0,Inf,107.486531495509,110.894964482164
"8842",35,"Natural",149.341572582076,0,Inf,147.835699427643,150.855076429458
"8843",35,"Suburban",116.097064178254,0,Inf,114.964937786062,117.23473764374
"8844",35,"Urban",106.095205479188,0,Inf,104.441613615952,107.761785133503
"8845",40,"Natural",141.141399862047,0,Inf,139.699075875818,142.591131299759
"8846",40,"Suburban",111.656354809111,0,Inf,110.472643828819,112.846373752978
"8847",40,"Urban",103.050635740621,0,Inf,101.233689715695,104.883742369849
"8848",45,"Natural",133.172759592582,0,Inf,131.571136074774,134.784072555192
"8849",45,"Suburban",107.302238099525,0,Inf,105.892811806241,108.720982170977
"8850",45,"Urban",100.050388642959,0,Inf,97.9249688016594,102.198627181158
"8851",50,"Natural",125.435651773681,0,Inf,123.537166633752,127.348613587181
"8852",50,"Suburban",103.034714049496,0,Inf,101.308862530069,104.775142080874
"8853",50,"Urban",97.0944641862018,0,Inf,94.5809511241486,99.6409393238946
"8854",55,"Natural",117.930076405345,0,Inf,115.675023772117,120.206898173102
"8855",55,"Suburban",98.8537826590249,0,Inf,96.7752773450656,100.954372147328
"8856",55,"Urban",94.1828623703494,0,Inf,91.2437099946827,97.1686054759813
"8857",60,"Natural",110.656033487573,0,Inf,108.028689760014,113.314944048317
"8858",60,"Suburban",94.7594439281107,0,Inf,92.3188578708648,97.2318707370841
"8859",60,"Urban",91.3155831954018,0,Inf,87.9365032415745,94.7583678242081
"8860",65,"Natural",103.613523020366,0,Inf,100.620329177892,106.650586624983
"8861",65,"Suburban",90.7516978567537,0,Inf,87.9525851015711,93.5946568629042
"8862",65,"Urban",88.4926266613591,0,Inf,84.6720664012315,92.3974908129417
"8863",70,"Natural",96.8025450037229,0,Inf,93.4613727301895,100.202395207729
"8864",70,"Suburban",86.8305444449539,0,Inf,83.6831461918787,90.0360433681185
"8865",70,"Urban",85.7139927682211,0,Inf,81.4576411395173,90.0787327985636
"8866",0,"Natural",213.58703960384,0,Inf,207.827525767823,219.425272951575
"8867",0,"Suburban",152.328517064738,0,Inf,147.992820912951,156.726810302852
"8868",0,"Urban",126.612580314255,0,Inf,121.941588881791,131.371359804021
"8869",5,"Natural",203.81040739445,0,Inf,198.850878409216,208.831024598404
"8870",5,"Suburban",147.019843244276,0,Inf,143.296611264166,150.790826656357
"8871",5,"Urban",123.438510247146,0,Inf,119.413410980773,127.530327276496
"8872",10,"Natural",194.262803061217,0,Inf,190.060755645817,198.510795435796
"8873",10,"Suburban",141.805321380587,0,Inf,138.666181299291,144.97959697113
"8874",10,"Urban",120.304732452448,0,Inf,116.891913454649,123.766658115871
"8875",15,"Natural",184.944226604143,0,Inf,181.45181349451,188.469929446865
"8876",15,"Suburban",136.68495147367,0,Inf,134.096226447105,139.298425821613
"8877",15,"Urban",117.211246930161,0,Inf,114.366175376121,120.091273263153
"8878",20,"Natural",175.854678023226,0,Inf,173.014500743216,178.717977840668
"8879",20,"Suburban",131.658733523527,0,Inf,129.576769723157,133.757290176104
"8880",20,"Urban",114.158053680287,0,Inf,111.816585762822,116.523783697182
"8881",25,"Natural",166.994157318467,0,Inf,164.730776317562,169.27298169628
"8882",25,"Suburban",126.726667530156,0,Inf,125.087808887481,128.37619230343
"8883",25,"Urban",111.145152702824,0,Inf,109.208082043276,113.099251999315
"8884",30,"Natural",158.362664489866,0,Inf,156.565806099725,160.169775132989
"8885",30,"Suburban",121.888753493557,0,Inf,120.588812479557,123.195663642105
"8886",30,"Urban",108.172543997773,0,Inf,106.485795885162,109.872546489955
"8887",35,"Natural",149.960199537423,0,Inf,148.45926556471,151.468682672644
"8888",35,"Suburban",117.144991413732,0,Inf,116.012386431879,118.283098265714
"8889",35,"Urban",105.240227565133,0,Inf,103.596401378034,106.896993083821
"8890",40,"Natural",141.786762461137,0,Inf,140.34829285379,143.232566173976
"8891",40,"Suburban",112.495381290679,0,Inf,111.311324316094,113.685702602723
"8892",40,"Urban",102.348203404905,0,Inf,100.541793946828,104.170696355724
"8893",45,"Natural",133.84235326101,0,Inf,132.243514414602,135.450799189345
"8894",45,"Suburban",107.939923124399,0,Inf,106.530939125423,109.358163659715
"8895",45,"Urban",99.4964715170883,0,Inf,97.3830735927492,101.632556305406
"8896",50,"Natural",126.12697193704,0,Inf,124.230368245699,128.037943719884
"8897",50,"Suburban",103.478616914891,0,Inf,101.754838107711,105.216874188959
"8898",50,"Urban",96.6850319016835,0,Inf,94.1849088397155,99.2179044025213
"8899",55,"Natural",118.640618489227,0,Inf,116.386622326137,120.916231787041
"8900",55,"Suburban",99.1114626621568,0,Inf,97.0374686536402,101.20738679974
"8901",55,"Urban",93.9138845586902,0,Inf,90.9889663023546,96.885074043528
"8902",60,"Natural",111.383292917573,0,Inf,108.756117276289,114.041822770334
"8903",60,"Suburban",94.8384603661948,0,Inf,92.405597504435,97.3029347599502
"8904",60,"Urban",91.1830294881086,0,Inf,87.8183252739745,94.6109859311144
"8905",65,"Natural",104.354995222076,0,Inf,101.3609200337,107.392649736884
"8906",65,"Suburban",90.6596100270056,0,Inf,87.872191263954,93.4905514390176
"8907",65,"Urban",88.4924666899387,0,Inf,84.685637994582,92.3829878119319
"8908",70,"Natural",97.5557254027372,0,Inf,94.2124052156392,100.957338067009
"8909",70,"Suburban",86.574911644589,0,Inf,83.4439291786214,89.7635576166993
"8910",70,"Urban",85.8421961641803,0,Inf,81.5981039746576,90.1938802088303
"8911",0,"Natural",213.89157239763,0,Inf,208.099748967121,219.762892246364
"8912",0,"Suburban",150.530014352688,0,Inf,146.194904289067,154.92846315543
"8913",0,"Urban",125.944010139057,0,Inf,121.262504281553,130.714180579277
"8914",5,"Natural",204.06564429684,0,Inf,199.078066766018,209.11492905734
"8915",5,"Suburban",145.460447438469,0,Inf,141.734919090964,149.23430576282
"8916",5,"Urban",122.842505049298,0,Inf,118.807428892627,126.944963697761
"8917",10,"Natural",194.470749907945,0,Inf,190.244517320991,198.743410547776
"8918",10,"Suburban",140.47771573384,0,Inf,137.334065754556,143.656939624046
"8919",10,"Urban",119.779666474842,0,Inf,116.357674893154,123.251250557112
