"","abslat","urban2","estimate","p.value","s.value","conf.low","conf.high"
"1",0,"Natural",171.725241580575,0,Inf,169.272233779022,174.195895627501
"2",0,"Suburban",135.103303178735,0,Inf,132.087629484631,138.15301462023
"3",0,"Urban",113.924519351935,0,Inf,110.404322264586,117.499959226551
"4",5,"Natural",165.100437748425,0,Inf,162.985359730796,167.229151228293
"5",5,"Suburban",130.388009220916,0,Inf,127.797450797971,133.004561213981
"6",5,"Urban",110.861205027538,0,Inf,107.829000880065,113.935453599851
"7",10,"Natural",158.605945450646,0,Inf,156.812652623485,160.409434015064
"8",10,"Suburban",125.75646847731,0,Inf,123.569704892989,127.962411864839
"9",10,"Urban",107.839638596152,0,Inf,105.267832752745,110.442482422852
"10",15,"Natural",152.241764687236,0,Inf,150.751784515107,153.739071927352
"11",15,"Suburban",121.208680947916,0,Inf,119.399986417634,123.030971921565
"12",15,"Urban",104.859820057776,0,Inf,102.71206793881,107.029795622699
"13",20,"Natural",146.007895458196,0,Inf,144.798518605382,147.222301769183
"14",20,"Suburban",116.744646632734,0,Inf,115.28016722159,118.218369543616
"15",20,"Urban",101.921749412411,0,Inf,100.146258756503,103.712840894715
"16",25,"Natural",139.904337763525,0,Inf,138.944645573799,140.867332858699
"17",25,"Suburban",112.364365531764,0,Inf,111.194585024212,113.540267001142
"18",25,"Urban",99.0254266600567,0,Inf,97.543648081369,100.518375352619
"19",30,"Natural",133.931091603224,0,Inf,133.173739330046,134.690591286527
"20",30,"Suburban",108.067837645006,0,Inf,107.11391718864,109.025986939028
"21",30,"Urban",96.1708518007126,0,Inf,94.8646441020753,97.4859908159413
"22",35,"Natural",128.088156977292,0,Inf,127.45616947317,128.721707454155
"23",35,"Suburban",103.85506297246,0,Inf,102.996075219467,104.717617846946
"24",35,"Urban",93.3580248343792,0,Inf,92.074497537421,94.650436560208
"25",40,"Natural",122.375533885731,0,Inf,121.760464108894,122.992153255555
"26",40,"Suburban",99.7260415141264,0,Inf,98.8198708858132,100.636347959057
"27",40,"Urban",90.5869457610563,0,Inf,89.1788661131868,92.0060548626706
"28",45,"Natural",116.793222328538,0,Inf,116.092684949258,117.495866978867
"29",45,"Suburban",95.6807732700049,0,Inf,94.6180410075356,96.749440454727
"30",45,"Urban",87.857614580744,0,Inf,86.2220969725089,89.5084985797806
"31",50,"Natural",111.341222305716,0,Inf,110.493957611396,112.191723006518
"32",50,"Suburban",91.7192582400955,0,Inf,90.441389900225,93.0060910165827
"33",50,"Urban",85.1700312934422,0,Inf,83.249752305557,87.1122055193029
"34",55,"Natural",106.019533817263,0,Inf,104.998975563184,107.04502787173
"35",55,"Suburban",87.8414964243981,0,Inf,86.3238719593881,89.3723452620787
"36",55,"Urban",82.5241958991511,0,Inf,80.2915890425711,84.7874187535145
"37",60,"Natural",100.82815686318,0,Inf,99.6262450798422,102.037275297531
"38",60,"Suburban",84.0474878229129,0,Inf,82.2831916756963,85.8304986682505
"39",60,"Urban",79.9201083978705,0,Inf,77.3644505022734,82.5172949627953
"40",65,"Natural",95.7670914434661,0,Inf,94.3848008361312,97.1594306101059
"41",65,"Suburban",80.3372324356398,0,Inf,78.3283601032157,82.3715402120304
"42",65,"Urban",77.3577687896005,0,Inf,74.477747912219,80.2924229084798
"43",70,"Natural",90.8363375581221,0,Inf,89.2792296004248,92.4069070424012
"44",70,"Suburban",76.7107302625788,0,Inf,74.464191132365,78.9906559934489
"45",70,"Urban",74.837177074341,0,Inf,71.6369158418224,78.1073680418345
"46",0,"Natural",170.515490373653,0,Inf,168.084264690424,172.964173052704
"47",0,"Suburban",136.077301236895,0,Inf,133.067559482612,139.120700808813
"48",0,"Urban",114.009352287599,0,Inf,110.506438125437,117.566922536208
"49",5,"Natural",164.004032861023,0,Inf,161.907518597054,166.114033659946
"50",5,"Suburban",131.222117951068,0,Inf,128.637989572743,133.831944327582
"51",5,"Urban",110.976523518168,0,Inf,107.958886609413,114.035755183288
"52",10,"Natural",157.619333558017,0,Inf,155.841653308775,159.407095356832
"53",10,"Suburban",126.455130701902,0,Inf,124.275025095852,128.654192744505
"54",10,"Urban",107.984579396274,0,Inf,105.424850093535,110.575012355349
"55",15,"Natural",151.361392464636,0,Inf,149.884361700991,152.845665265583
"56",15,"Suburban",121.776339489398,0,Inf,119.974276405621,123.591835740483
"57",15,"Urban",105.033519921918,0,Inf,102.895589837281,107.193432815325
"58",20,"Natural",145.23020958088,0,Inf,144.031441406413,146.433945753356
"59",20,"Suburban",117.185744313554,0,Inf,115.727645340177,118.652971458781
"60",20,"Urban",102.123345095099,0,Inf,100.355681003307,103.906441382215
"61",25,"Natural",139.225784906748,0,Inf,138.274737161227,140.180092085671
"62",25,"Suburban",112.683345174372,0,Inf,111.519514730096,113.853217068914
"63",25,"Urban",99.2540549158186,0,Inf,97.7784061080435,100.740755557024
"64",30,"Natural",133.348118442241,0,Inf,132.597897359407,134.100455867339
"65",30,"Suburban",108.26914207185,0,Inf,107.320642406647,109.221814736115
"66",30,"Urban",96.4256493840758,0,Inf,95.1242623596711,97.7358781130567
"67",35,"Natural",127.597210187359,0,Inf,126.971342576536,128.224616522639
"68",35,"Suburban",103.94313500599,0,Inf,103.089123343225,104.800669496688
"69",35,"Urban",93.6381284998708,0,Inf,92.358640111731,94.9264187070723
"70",40,"Natural",121.973060142101,0,Inf,121.363574788629,122.584072076143
"71",40,"Suburban",99.705323976791,0,Inf,98.8041667467078,100.61057213741
"72",40,"Urban",90.8914922632035,0,Inf,89.4872480319923,92.3066686682162
"73",45,"Natural",116.475668306468,0,Inf,115.780635073876,117.172781449353
"74",45,"Suburban",95.555708984253,0,Inf,94.4988261405973,96.6184691408608
"75",45,"Urban",88.1857406740739,0,Inf,86.5542637025367,89.8324504203127
"76",50,"Natural",111.10503468046,0,Inf,110.26355249143,111.949715583641
"77",50,"Suburban",91.494290028376,0,Inf,90.2238591161139,92.773602906654
"78",50,"Urban",85.5208737324821,0,Inf,83.6050123402412,87.4584387368739
"79",55,"Natural",105.861159264076,0,Inf,104.846822418991,106.880379100247
"80",55,"Suburban",87.5210671091602,0,Inf,86.0130541287114,89.0421849825692
"81",55,"Urban",82.8968914384281,0,Inf,80.6690834299473,85.1550441364246
"82",60,"Natural",100.744042057317,0,Inf,99.5487913370842,101.946425519041
"83",60,"Suburban",83.6360402266055,0,Inf,81.8839938269055,85.4066327352028
"84",60,"Urban",80.3137937919119,0,Inf,77.7632257286995,82.9055178746348
"85",65,"Natural",95.7536830601823,0,Inf,94.3784002098632,97.1389138773377
"86",65,"Suburban",79.8392093807119,0,Inf,77.8456239626675,81.8580004039207
"87",65,"Urban",77.7715807929334,0,Inf,74.8968002230512,80.700498938581
"88",70,"Natural",90.8900822726724,0,Inf,89.3401841045317,92.4533091052667
"89",70,"Suburban",76.1305745714794,0,Inf,73.9027209441622,78.391511558026
"90",70,"Urban",75.2702524414926,0,Inf,72.0752132281459,78.5345810339386
"91",0,"Natural",172.18828343416,0,Inf,169.743007089587,174.651047072288
"92",0,"Suburban",136.421044197865,0,Inf,133.404430478841,139.471384319885
"93",0,"Urban",115.387463956444,0,Inf,111.85890297193,118.97081786617
"94",5,"Natural",165.520547977743,0,Inf,163.41245621736,167.642150381472
"95",5,"Suburban",131.540291854442,0,Inf,128.950204665259,134.156133217218
