"","cell","number_checklists","total_SR","total_duration","avg_duration","avg_distance","square"
"1",18965090,1,7,77,11,1.52,"r1c4"
"2",36286364,1,6,48,8,NA,"r1c4"
"3",36322447,3,29,7021,163.279069767442,0.950372093023256,"r1c4"
"4",36502858,2,28,2688,96,0.644,"r1c4"
"5",36502859,2,21,2497,71.3428571428571,1.12191428571429,"r1c4"
"6",36538943,1,15,870,58,1.609,"r1c4"
"7",36538944,2,22,1668,52.125,0.503125,"r1c4"
"8",37116288,1,3,9,3,NA,"r1c4"
"9",37116293,1,2,18,9,1.497,"r1c4"
"10",37152364,1,8,928,116,2.639,"r1c4"
"11",37152368,2,10,1530,102,0.5152,"r1c4"
"12",37152369,14,26,3373,39.6823529411765,NA,"r1c4"
"13",37152388,1,3,3,1,0.225,"r1c4"
"14",37152390,1,1,1,1,0.177,"r1c4"
"15",37188447,2,4,5,1,0.08,"r1c4"
"16",37224524,11,26,14031,85.0363636363636,NA,"r1c4"
"17",37260663,1,2,2,1,0.145,"r1c4"
"18",37477181,1,1,1,1,0.209,"r1c4"
"19",37729785,2,6,56,8,0.266714285714286,"r1c4"
"20",37910214,1,3,6,2,NA,"r1c4"
"21",37946300,1,3,6,2,0.064,"r1c4"
"22",38126730,1,1,2,2,0.209,"r1c4"
"23",38126733,1,2,4,2,NA,"r1c4"
"24",38126734,1,1,1,1,NA,"r1c4"
"25",38162820,1,2,2,1,NA,"r1c4"
"26",38523668,1,1,1,1,NA,"r1c4"
"27",38631927,1,1,1,1,NA,"r1c4"
"28",38668012,1,1,1,1,NA,"r1c4"
"29",38920607,1,7,413,59,1.287,"r1c4"
"30",38920610,1,1,1,1,NA,"r1c4"
"31",38956691,1,7,343,49,2.414,"r1c4"
"32",38956692,1,9,576,64,2.414,"r1c4"
"33",38992776,4,27,2486,59.1904761904762,NA,"r1c4"
"34",39317545,1,2,8,4,NA,"r1c4"
"35",39389714,5,14,1648,45.7777777777778,1.82902777777778,"r1c4"
"36",39389716,1,11,660,60,3.879,"r1c4"
"37",41521215,1,1,130,130,3.219,"r1c4"
"38",50144896,1,1,60,60,NA,"r1c4"
"39",60754461,10,11,1696,77.0909090909091,NA,"r1c4"
"40",60754466,7,17,1082,63.6470588235294,NA,"r1c4"
"41",60790551,2,2,418,209,4.43,"r1c4"
"42",60934460,3,34,9086,165.2,2.67963636363636,"r1c4"
"43",60934886,2,11,330,30,3.123,"r1c4"
"44",61115343,1,2,10,5,NA,"r1c4"
"45",61295784,1,33,9900,300,5,"r1c4"
"46",67610501,5,28,5138,90.140350877193,NA,"r1c4"
"47",67935268,191,110,215170,88.510900863842,NA,"r1c4"
"48",68043585,1,1,60,60,1.609,"r1c4"
"49",68079605,2,16,1920,120,NA,"r1c4"
"50",68079668,1,4,40,10,NA,"r1c4"
"51",68115688,2,16,1094,42.0769230769231,3.8,"r1c4"
"52",68151837,3,14,1240,56.3636363636364,2.36772727272727,"r1c4"
"53",68296246,2,11,780,70.9090909090909,1.74718181818182,"r1c4"
"54",68440580,1,18,2394,133,4.828,"r1c4"
"55",68512665,1,10,100,10,4.008,"r1c4"
"56",68798378,4,35,10950,210.576923076923,1.47930769230769,"r1c4"
"57",68906626,1,16,368,23,0.322,"r1c4"
"58",69411763,1,25,4775,191,4.023,"r1c4"
"59",69447846,1,14,910,65,1.448,"r1c4"
"60",69447847,1,17,1037,61,0.483,"r1c4"
"61",69483930,1,10,480,48,2.897,"r1c4"
"62",69520012,1,8,168,21,0.483,"r1c4"
"63",69520013,4,18,795,29.4444444444444,NA,"r1c4"
"64",69520014,1,17,2788,164,4.506,"r1c4"
"65",69520042,7,23,2248,44.078431372549,NA,"r1c4"
"66",69556093,1,17,3485,205,0.966,"r1c4"
"67",69556094,2,8,446,49.5555555555556,1.43011111111111,"r1c4"
"68",69556095,1,5,80,16,0.483,"r1c4"
"69",69556096,3,24,5786,214.296296296296,1.66285185185185,"r1c4"
"70",69556097,2,4,256,64,3.541,"r1c4"
"71",69556125,1,14,518,37,0.483,"r1c4"
"72",69700454,2,21,1332,53.28,NA,"r1c4"
"73",70136276,1,19,2375,125,4.2,"r1c4"
"74",70172383,1,10,1210,121,3.219,"r1c4"
"75",70388872,1,9,63,7,1.609,"r1c4"
"76",70569251,1,2,120,60,1.609,"r1c4"
"77",71038310,1,42,7560,180,3,"r1c4"
"78",71177402,1,9,1890,210,2,"r1c4"
"79",71868207,1,3,180,60,NA,"r1c4"
"80",71976465,1,18,3780,210,3,"r1c4"
"81",72517694,2,12,924,77,1.3,"r1c4"
"82",72842450,1,5,605,121,1.609,"r1c4"
"83",72842464,1,12,672,56,3.855,"r1c4"
"84",73058963,1,11,1573,143,3.169,"r1c4"
"85",73095032,1,7,420,60,1.133,"r1c4"
"86",73131116,1,2,16,8,1.609,"r1c4"
"87",73131119,2,2,360,180,4.828,"r1c4"
"88",73455879,1,1,60,60,1.609,"r1c4"
"89",75187827,5,24,3296,109.866666666667,2.35813333333333,"r1c4"
"90",75223678,2,9,657,73,4.259,"r1c4"
"91",75223679,1,21,2562,122,3.219,"r1c4"
"92",75223681,2,11,627,57,0.94,"r1c4"
"93",75656681,1,19,5130,270,5,"r1c4"
"94",75693326,1,3,720,240,NA,"r1c4"
"95",75837093,1,17,3553,209,3.688,"r1c4"
"96",76414335,1,6,36,6,1.754,"r1c4"
"97",76486506,1,5,100,20,3.023,"r1c4"
"98",76486747,1,10,100,10,4.291,"r1c4"
"99",76595078,3,12,360,30,NA,"r1c4"
"100",76595080,1,12,1428,119,1.609,"r1c4"
"101",77099994,4,12,1080,90,4.058,"r1c4"
"102",77099995,1,21,2961,141,2.4,"r1c4"
"103",77640206,1,4,120,30,0.5,"r1c4"
"104",77676315,1,8,360,45,0.5,"r1c4"
"105",77965921,1,17,4080,240,3,"r1c4"
"106",78001136,2,29,7740,180,2.6046511627907,"r1c4"
"107",78002008,1,14,840,60,3.5,"r1c4"
"108",78037218,1,6,120,20,0.3,"r1c4"
"109",78038090,1,14,1176,84,0.6,"r1c4"
"110",78073299,1,21,2520,120,3,"r1c4"
"111",78073300,1,12,720,60,2,"r1c4"
"112",78181524,1,24,4320,180,3.219,"r1c4"
