"","cell","number_checklists","total_SR","total_duration","avg_duration","avg_distance","square"
"1",522706008,1,20,1200,60,NA,"r4c3"
"2",522994672,2,21,2040,60,NA,"r4c3"
"3",523101836,1,3,96,32,NA,"r4c3"
"4",523282244,1,3,24,8,3.124,"r4c3"
"5",524725480,4,14,1575,46.3235294117647,NA,"r4c3"
"6",524833714,3,17,502,17.9285714285714,NA,"r4c3"
"7",524833719,1,11,1320,120,4.8,"r4c3"
"8",524942003,1,9,252,28,2.184,"r4c3"
"9",525050245,1,21,3780,180,5,"r4c3"
"10",527145301,1,13,780,60,NA,"r4c3"
"11",533098923,2,13,840,36.5217391304348,NA,"r4c3"
"12",533784487,2,21,5730,163.714285714286,5,"r4c3"
"13",534217437,1,12,720,60,NA,"r4c3"
"14",534325659,1,3,180,60,NA,"r4c3"
"15",534650391,2,13,868,43.4,NA,"r4c3"
"16",534686482,1,7,630,90,2,"r4c3"
"17",535444205,1,9,117,13,NA,"r4c3"
"18",594437668,6,6,270,45,NA,"r4c3"
"19",604283904,1,3,540,180,NA,"r4c3"
"20",633618591,1,1,31,31,NA,"r4c3"
