"","cell","number_checklists","total_SR","total_duration","avg_duration","avg_distance","square"
"1",517428600,2,22,1430,65,0.76,"r4c2"
"2",517428601,1,20,1700,85,3.53,"r4c2"
"3",517464640,1,4,32,8,NA,"r4c2"
"4",517464682,5,21,2707,57.5957446808511,NA,"r4c2"
"5",517464689,13,55,7482,51.2465753424658,NA,"r4c2"
"6",517464690,1,4,264,66,0.5,"r4c2"
"7",517464691,5,26,3358,69.9583333333333,NA,"r4c2"
"8",517464692,1,14,1050,75,1.9,"r4c2"
"9",517500261,1,3,15,5,NA,"r4c2"
"10",517500725,1,3,30,10,NA,"r4c2"
"11",517500771,1,6,420,70,NA,"r4c2"
"12",517500774,1,7,567,81,1.986,"r4c2"
"13",517501082,1,7,98,14,1.953,"r4c2"
"14",517536853,7,35,7092,77.9340659340659,1.71307692307692,"r4c2"
"15",517572301,1,7,168,24,NA,"r4c2"
"16",517572936,2,14,941,49.5263157894737,2.85684210526316,"r4c2"
"17",517608406,1,4,4,1,NA,"r4c2"
"18",517608511,1,2,10,5,NA,"r4c2"
"19",517608614,1,14,560,40,2,"r4c2"
"20",517608619,1,1,1,1,0.5,"r4c2"
"21",517608972,1,4,28,7,0.38,"r4c2"
"22",517608973,4,40,4375,74.1525423728814,NA,"r4c2"
"23",517608974,2,14,483,25.4210526315789,0.410526315789474,"r4c2"
"24",517609026,2,16,2252,102.363636363636,1.47,"r4c2"
"25",517609028,2,15,243,13.5,1.335,"r4c2"
"26",517644487,1,9,270,30,4.9,"r4c2"
"27",517644618,1,11,605,55,1.609,"r4c2"
"28",517645039,1,1,4,4,4.54,"r4c2"
"29",517645047,1,6,180,30,NA,"r4c2"
"30",517645048,1,4,4,1,3,"r4c2"
"31",517645049,1,2,6,3,NA,"r4c2"
"32",517645109,6,32,7701,106.958333333333,1.79638888888889,"r4c2"
"33",517645117,1,8,400,50,1.15,"r4c2"
"34",517680554,1,8,80,10,2,"r4c2"
"35",517681130,45,67,9289,33.9014598540146,NA,"r4c2"
"36",517716759,1,2,12,6,NA,"r4c2"
"37",517717210,2,16,145,7.63157894736842,NA,"r4c2"
"38",517717211,1,5,105,21,0.83,"r4c2"
"39",517717214,11,45,4136,43.5368421052632,NA,"r4c2"
"40",517717215,3,25,3634,88.6341463414634,NA,"r4c2"
"41",517752840,1,2,18,9,NA,"r4c2"
"42",517753293,1,15,660,44,1.61,"r4c2"
"43",517753294,1,11,275,25,0.49,"r4c2"
"44",517753295,1,13,273,21,0.23,"r4c2"
"45",517753337,1,6,18,3,1.95,"r4c2"
"46",517789374,5,13,1655,39.4047619047619,NA,"r4c2"
"47",517789375,55,78,18061,35.9780876494024,NA,"r4c2"
"48",517789377,5,35,3373,60.2321428571429,2.09089285714286,"r4c2"
"49",517789416,12,51,7671,54.4042553191489,NA,"r4c2"
"50",517824894,1,8,960,120,NA,"r4c2"
"51",517825038,1,20,2460,123,1.609,"r4c2"
"52",517825043,1,7,364,52,1.36,"r4c2"
"53",517825456,3,35,4497,104.581395348837,NA,"r4c2"
"54",517826523,1,5,50,10,4,"r4c2"
"55",517860966,1,4,16,4,3.41,"r4c2"
"56",517860967,1,2,4,2,1.63,"r4c2"
"57",517861084,2,18,2540,110.434782608696,3.78260869565217,"r4c2"
"58",517861085,1,4,120,30,2.14,"r4c2"
"59",517861121,1,17,1717,101,3.219,"r4c2"
"60",517861125,1,7,21,3,1.609,"r4c2"
"61",517861126,1,12,672,56,0.805,"r4c2"
"62",517861490,1,5,15,3,NA,"r4c2"
"63",517861538,1,8,120,15,NA,"r4c2"
"64",517897620,1,1,1,1,NA,"r4c2"
"65",517897621,55,106,58174,83.2246065808298,NA,"r4c2"
"66",517933699,1,7,175,25,0.51,"r4c2"
"67",517933702,1,3,6,2,NA,"r4c2"
"68",517933703,6,28,1997,35.6607142857143,NA,"r4c2"
"69",517969214,1,14,1680,120,NA,"r4c2"
"70",517969781,2,9,24,2.66666666666667,NA,"r4c2"
"71",517969785,3,18,652,19.7575757575758,0.292424242424242,"r4c2"
"72",517969786,3,15,517,20.68,0.57664,"r4c2"
"73",518005134,1,6,180,30,3.219,"r4c2"
"74",518005305,4,26,3714,123.8,NA,"r4c2"
"75",518005437,1,7,140,20,3.795,"r4c2"
"76",518005863,1,21,1470,70,3.219,"r4c2"
"77",518005868,1,5,15,3,0.76,"r4c2"
"78",518005869,4,20,922,26.3428571428571,NA,"r4c2"
"79",518005870,2,22,960,38.4,NA,"r4c2"
"80",518005872,1,21,315,15,NA,"r4c2"
"81",518005873,1,6,48,8,0.281,"r4c2"
"82",518005874,10,42,5930,50.6837606837607,NA,"r4c2"
"83",518041388,3,21,4780,159.333333333333,NA,"r4c2"
"84",518041402,1,5,100,20,NA,"r4c2"
"85",518041500,2,10,140,10,NA,"r4c2"
"86",518041947,4,27,3554,75.6170212765958,NA,"r4c2"
"87",518041952,5,41,5872,101.241379310345,0.413448275862069,"r4c2"
"88",518041953,6,29,5199,89.6379310344828,NA,"r4c2"
"89",518041954,2,12,130,8.125,0.092875,"r4c2"
"90",518041955,2,18,341,14.2083333333333,NA,"r4c2"
"91",518041956,8,40,7921,70.7232142857143,1.20015178571429,"r4c2"
"92",518042107,1,2,186,93,4.41,"r4c2"
"93",518077581,10,32,4699,75.7903225806452,NA,"r4c2"
"94",518077584,1,6,1290,215,0.8,"r4c2"
"95",518077606,1,2,12,6,0.124,"r4c2"
"96",518078028,6,26,5425,98.6363636363636,NA,"r4c2"
"97",518078034,1,14,280,20,NA,"r4c2"
"98",518078035,3,25,2632,56,NA,"r4c2"
"99",518078036,4,34,2623,40.984375,NA,"r4c2"
"100",518078038,1,6,120,20,0.39,"r4c2"
"101",518113549,1,3,9,3,1.95,"r4c2"
"102",518113663,3,4,42,8.4,NA,"r4c2"
"103",518113705,1,15,1800,120,5,"r4c2"
"104",518113717,1,6,180,30,1.87,"r4c2"
"105",518114118,2,19,2196,73.2,3.0192,"r4c2"
"106",518114119,1,7,63,9,0.91,"r4c2"
"107",518149642,1,5,50,10,2,"r4c2"
"108",518149648,3,10,232,13.6470588235294,NA,"r4c2"
"109",518150192,6,15,836,39.8095238095238,0.93152380952381,"r4c2"
"110",518150199,2,16,528,27.7894736842105,2.28442105263158,"r4c2"
"111",518185866,1,2,42,21,1.55,"r4c2"
"112",518186283,1,14,280,20,0.325,"r4c2"
"113",518222365,1,10,410,41,0.59,"r4c2"
