"cell_ID","SC_obs","obs.richness","sampsize_obs","SC_80","richness_80","sampsize_80","SC_90","richness_90","sampsize_90","SC_95","richness_95","sampsize_95","SC_97","richness_97","sampsize_97","SC_98","richness_98","sampsize_98","square"
108941046,0.999437081176524,192,1745,0.832071422187545,47.6144317891357,4,0.91565017641852,59.5807387307117,8,0.952540136802079,70.1409134672502,15,0.97101083415966,82.2097137400609,29,0.979971259975938,94.0340351214939,50,"r1c1"
109121448,0.998922939037241,194,1000,0.774333847073767,48.5986476724474,3,0.893912983147729,66.5486697383333,7,0.952049151603528,85.8808470042409,17,0.969942631563565,98.230170889159,29,0.979654303044128,108.928125583405,45,"r1c1"
110131318,0.999333411062557,220,914,0.842060234935778,66.9785723935922,4,0.889928182811191,76.8602267910598,6,0.951899736599852,99.7858550588358,15,0.968925531262712,111.938208390456,24,0.980038006014166,124.833841126413,39,"r1c1"
112153526,0.997054305930937,192,369,0.797637394118028,62.2754153249208,5,0.901355101640472,84.2627673547826,11,0.949279465541453,103.666363502544,22,0.970300166557594,121.817884157449,41,0.979899668701663,136.347422762035,65,"r1c1"
114713854,0.99845022597095,193,514,0.791873275815959,62.1111608903754,5,0.901060802287566,91.5573026361518,13,0.950068503791422,116.589795821467,27,0.970335633638448,132.229570817253,43,0.979886864773716,142.122100727527,59,"r1c1"
115399248,0.998760375339426,191,356,0.77541174186039,68.6122794172158,3,0.895908537918248,94.0738112864686,7,0.95143404965438,116.55064179567,15,0.97036486965286,129.922536862187,24,0.979803211172062,139.455319221884,34,"r1c1"
115759631,0.998845994018607,197,1029,0.793867846545313,56.2392193310832,5,0.893822786194845,76.3572680722277,11,0.948959371614149,99.0329745555289,25,0.970636509581905,115.203975487842,44,0.980044164060933,125.848687688538,64,"r1c1"
116228684,0.999545809623076,206,1175,0.788606614955735,58.5710292915669,3,0.908549702436543,83.4617830047454,8,0.949530489080132,99.9830423458378,15,0.970302022070058,114.492518304561,26,0.980580634832198,126.688554889578,41,"r1c1"
119115213,0.998826293695951,198,1214,0.791797276599067,49.8355482971565,5,0.904084548121647,72.4807245356649,13,0.948654166876121,91.844648700602,27,0.970270976354126,108.761671381071,49,0.980311081516264,120.67931457114,74,"r1c1"
119187379,0.999346598203153,198,1326,0.856954431055628,66.6315190727819,6,0.889537797599863,73.7334203664544,8,0.951390698218234,95.3955334867018,19,0.97070097087081,108.524413662865,32,0.980293361696617,118.786087630674,48,"r1c1"
119836776,0.999321994758845,194,1087,0.799573301973345,58.1176153255908,5,0.904413683596411,78.1906024561659,11,0.952005940657815,95.5523022904616,22,0.969157674770103,107.152604968151,35,0.980216391187908,119.659633029308,57,"r1c1"
121532637,0.998862678123727,201,984,0.772030297712414,51.857123893559,4,0.892668043770462,74.440352457856,10,0.951039152222515,98.1212334961693,24,0.970336370065405,112.377999347054,40,0.979811217721564,122.659988463115,58,"r1c1"
121713038,0.999225333446355,222,1505,0.807204350311578,58.3949451413374,7,0.905962511496812,80.6254522208009,16,0.952007049976792,102.282526028389,34,0.969853301733214,118.666764295467,58,0.980153459991153,134.463038355434,94,"r1c1"
121749129,0.999821911380789,208,2779,0.894619460072484,56.6737101932128,6,0.894619460072484,56.6737101932128,6,0.950120275960193,77.4153744114051,17,0.970689206165386,94.5498807256763,34,0.979312975423847,105.602249640546,51,"r1c1"
123950032,0.999542108194652,201,1183,0.809905310617792,63.0512927362706,5,0.894774359346917,82.18511429581,10,0.949844658974382,104.97558943268,22,0.969666449956042,119.22710249945,36,0.97991184779939,130.1331534796,53,"r1c1"
125287455,0.996504325416281,217,533,0.799211561596344,72.571830585515,10,0.898145080930454,103.785575973033,23,0.950449194996119,133.331961098197,48,0.969904245736219,151.339076583485,76,0.979952674969576,164.822469809443,109,"r1c1"
118181612,0.997875304566918,192,501,0.79938585038607,71.5072281116589,6,0.898339849599208,93.4037773811088,12,0.950673227164113,112.811997016942,23,0.970443070658109,125.035324419095,36,0.980145289411172,134.526153394961,52,"r1c2"
118433858,0.998664058257086,197,1235,0.823661303561968,49.9454605820837,8,0.903110431180395,69.928143754663,18,0.949422171601965,93.1502154716944,40,0.969732687833538,110.931112637247,70,0.980230162078402,124.636901267452,107,"r1c2"
120634741,0.998953738223724,218,930,0.813372429676784,67.1870463161856,6,0.900096279382193,87.2502021326148,12,0.949954453946992,109.131399169121,25,0.970611407888255,125.476954411588,43,0.980055615545566,137.500201419281,64,"r1c2"
123954128,0.999055523923524,199,590,0.788670156727814,74.5820300075666,5,0.898611485803751,100.93982823472,11,0.948808868621964,122.087150875743,21,0.970667643742749,136.728921880639,34,0.980046282991536,145.835584408946,47,"r1c2"
124892212,0.998931243070258,205,1048,0.799798287676421,51.8447936140842,5,0.904635963381891,76.0061570091201,13,0.951674428788666,97.9391883210856,28,0.970297674781432,113.383600540047,47,0.980160705758857,126.386183831196,72,"r1c2"
125143692,0.99848296039793,236,1064,0.789654004980374,69.4074091627464,9,0.897934355411614,101.337058855927,22,0.951223882680994,134.158487865803,50,0.969509241155131,152.923787120413,79,0.979942722197326,167.437742307313,114,"r1c2"
125361242,0.999634279254717,196,1433,0.752744800839963,53.3819051825971,3,0.908838910737905,80.4393672015999,9,0.951656348077638,97.8285325815312,18,0.969098946483649,110.143716992577,29,0.980205377788312,122.236165802696,46,"r1c2"
127129129,0.999384526947493,200,913,0.808748228181015,63.1428463028364,4,0.892516300135328,81.4866592153332,8,0.949982951946235,106.21338014887,19,0.970378174122328,121.541677672062,32,0.979951876747543,131.954102212327,46,"r1c2"
127598194,0.999495414704246,193,1631,0.809028306880068,55.0864483895673,4,0.911538472302268,76.7802969424563,10,0.94644985768711,90.0452593589343,17,0.970645129375888,104.017468794225,30,0.980251506781771,112.465609561363,43,"r1c2"
130592695,0.998680069825718,201,409,0.799383648720565,70.5076630421251,3,0.905115610186767,94.7063384751244,7,0.949934785113421,114.945867179439,14,0.97040846824756,130.89656046825,24,0.980006625064447,141.93992207597,35,"r1c2"
130592703,0.999754538984168,235,2978,0.869450904384744,71.0569164129793,6,0.869450904384744,71.0569164129793,6,0.956349995851278,97.0227806548342,18,0.972606951097371,109.005090303179,30,0.979420077571854,117.239140995344,42,"r1c2"
130628777,0.998644657102407,204,623,0.793698536979758,66.7761828705411,5,0.9040234909601,93.2943409428215,12,0.950423055359337,115.082500062479,24,0.970259182177176,131.1810942884,40,0.980132321362271,143.262465288823,59,"r1c2"
75972255,0.998536858376419,192,428,0.801687765859602,66.6749354421512,3,0.89424564058126,84.8762065716309,6,0.948710454054423,105.235961460055,13,0.969960267408096,119.048799019469,22,0.98004285376949,128.556518653386,32,"r1c3"
101733244,0.998745159226172,196,545,0.817783847706784,75.8191703387718,3,0.893958803723151,89.7124978538184,5,0.949821472539445,106.662698482335,10,0.969729354167441,117.266073861723,16,0.980401089541906,125.982808146039,24,"r1c3"
