"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"54793",197775923,12,36,9085,70.9765625,3,"r2c2AA"
"54794",197775938,3,31,560,18.0645161290323,3,"r2c2AA"
"54795",197775947,4,16,70,4.11764705882353,2,"r2c2AA"
"54796",197775978,1,12,384,32,1,"r2c2AA"
"54797",197775982,2,36,4346,74.9310344827586,1,"r2c2AA"
"54798",197775988,1,7,840,120,1,"r2c2AA"
"54799",197776024,6,21,717,22.40625,3,"r2c2AA"
"54800",197776025,8,36,6220,74.9397590361446,3,"r2c2AA"
"54801",197811955,1,6,60,10,1,"r2c2AA"
"54802",197811956,1,1,60,60,1,"r2c2AA"
"54803",197811986,8,47,12005,88.9259259259259,3,"r2c2AA"
"54804",197811998,1,3,15,5,1,"r2c2AA"
"54805",197812000,1,16,176,11,1,"r2c2AA"
"54806",197812001,16,62,10305,51.525,2,"r2c2AA"
"54807",197812004,11,41,10220,70.9722222222222,2,"r2c2AA"
"54808",197812005,2,5,31,4.42857142857143,1,"r2c2AA"
"54809",197812015,7,49,3882,53.9166666666667,3,"r2c2AA"
"54810",197812024,1,13,221,17,1,"r2c2AA"
"54811",197812039,3,32,9105,140.076923076923,2,"r2c2AA"
"54812",197812040,1,36,2960,80,1,"r2c2AA"
"54813",197812058,1,23,966,42,1,"r2c2AA"
"54814",197812069,29,57,27843,103.505576208178,3,"r2c2AA"
"54815",197812073,1,12,480,40,1,"r2c2AA"
"54816",197812102,1,10,450,45,1,"r2c2AA"
"54817",197812105,2,16,960,60,1,"r2c2AA"
"54818",197812107,1,6,90,15,1,"r2c2AA"
"54819",197848015,2,33,3260,79.5121951219512,2,"r2c2AA"
"54820",197848017,1,10,120,12,1,"r2c2AA"
"54821",197848018,7,48,3760,47,1,"r2c2AA"
"54822",197848019,4,45,5927,70.5595238095238,2,"r2c2AA"
"54823",197848021,14,56,18663,85.2191780821918,3,"r2c2AA"
"54824",197848023,5,31,2910,48.5,3,"r2c2AA"
"54825",197848024,4,31,2117,47.0444444444444,3,"r2c2AA"
