"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"20206",146396650,8,21,1091,30.3055555555556,3,"r2c2ABB"
"20207",146396659,1,26,1560,60,1,"r2c2ABB"
"20208",146396660,3,12,151,12.5833333333333,2,"r2c2ABB"
"20209",146396662,1,7,420,60,1,"r2c2ABB"
"20210",146396666,1,11,220,20,1,"r2c2ABB"
"20211",146396667,4,35,3060,55.6363636363636,2,"r2c2ABB"
"20212",146396670,4,31,5705,96.6949152542373,1,"r2c2ABB"
"20213",146396671,3,15,883,36.7916666666667,2,"r2c2ABB"
"20214",146396676,21,42,15237,66.8289473684211,3,"r2c2ABB"
"20215",146396678,2,8,600,60,2,"r2c2ABB"
"20216",146396679,2,10,144,12,1,"r2c2ABB"
"20217",146396681,1,8,80,10,1,"r2c2ABB"
"20218",146396682,10,39,4250,38.6363636363636,3,"r2c2ABB"
"20219",146396683,2,4,12,3,1,"r2c2ABB"
"20220",146396685,1,15,900,60,1,"r2c2ABB"
"20221",146396687,1,20,1200,60,1,"r2c2ABB"
"20222",146396691,2,14,1140,60,2,"r2c2ABB"
"20223",146396701,1,12,720,60,1,"r2c2ABB"
"20224",146396704,2,13,740,43.5294117647059,2,"r2c2ABB"
"20225",146396705,19,48,17389,92.4946808510638,3,"r2c2ABB"
"20226",146396707,2,9,170,13.0769230769231,2,"r2c2ABB"
"20227",146396710,2,12,121,7.11764705882353,1,"r2c2ABB"
"20228",146396711,2,11,405,33.75,2,"r2c2ABB"
"20229",146396714,240,138,573072,116.241784989858,3,"r2c2ABB"
"20230",146396715,174,130,101006,60.4102870813397,3,"r2c2ABB"
"20231",146396716,26,51,2815,24.0598290598291,3,"r2c2ABB"
"20232",146396717,18,45,2522,26.5473684210526,3,"r2c2ABB"
"20233",146396718,22,42,6495,29.6575342465753,3,"r2c2ABB"
"20234",146396719,2,12,144,12,1,"r2c2ABB"
"20235",146396720,70,52,17177,29.6155172413793,3,"r2c2ABB"
"20236",146396721,12,43,2311,23.3434343434343,3,"r2c2ABB"
"20237",146396722,1,2,2,1,1,"r2c2ABB"
"20238",146396785,1,7,140,20,1,"r2c2ABB"
"20239",146396789,1,4,152,38,1,"r2c2ABB"
"20240",146396790,3,21,1353,61.5,2,"r2c2ABB"
"20241",146396791,6,33,3071,66.7608695652174,2,"r2c2ABB"
"20242",146396792,3,46,6516,86.88,2,"r2c2ABB"
