"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"1",100586359,1,3,30,10,1,"r1c4"
"2",100875041,1,1,44,44,1,"r1c4"
"3",101019347,1,1,10,10,1,"r1c4"
"4",104230542,3,3,60,20,1,"r1c4"
"5",104266627,1,6,174,29,1,"r1c4"
"6",104302709,1,8,296,37,1,"r1c4"
"7",104302710,2,7,780,70.9090909090909,2,"r1c4"
"8",104302711,1,1,59,59,1,"r1c4"
"9",104302714,2,5,115,19.1666666666667,2,"r1c4"
"10",104338784,1,8,144,18,1,"r1c4"
"11",104338787,2,11,1390,73.1578947368421,2,"r1c4"
"12",104338791,2,2,105,52.5,1,"r1c4"
"13",104374877,6,6,720,120,1,"r1c4"
"14",104374878,1,7,420,60,1,"r1c4"
"15",104374879,1,4,64,16,1,"r1c4"
"16",104410959,3,15,496,23.6190476190476,2,"r1c4"
"17",104410961,1,15,2700,180,1,"r1c4"
"18",104447042,11,13,1117,29.3947368421053,3,"r1c4"
"19",104519207,3,4,203,29,2,"r1c4"
"20",104519210,5,13,1714,74.5217391304348,2,"r1c4"
"21",104519211,2,10,757,75.7,2,"r1c4"
"22",105710183,5,7,1290,161.25,3,"r1c4"
"23",105818238,1,1,25,25,1,"r1c4"
"24",105818240,1,4,80,20,1,"r1c4"
"25",105890597,2,3,540,180,1,"r1c4"
"26",105926683,6,7,1260,180,1,"r1c4"
"27",105962768,1,1,120,120,1,"r1c4"
"28",105962774,11,11,1320,120,1,"r1c4"
"29",105998848,3,3,420,140,2,"r1c4"
"30",106034928,1,1,180,180,1,"r1c4"
"31",106034944,2,2,360,180,1,"r1c4"
"32",106395753,6,6,1440,240,1,"r1c4"
"33",107009002,1,1,20,20,1,"r1c4"
"34",107550274,2,5,410,82,1,"r1c4"
"35",110619716,1,1,64,64,1,"r1c4"
"36",111954104,2,2,120,60,1,"r1c4"
"37",113180445,1,2,130,65,1,"r1c4"
"38",113396950,1,7,91,13,1,"r1c4"
"39",113685646,2,5,35,7,1,"r1c4"
"40",113721706,1,2,10,5,1,"r1c4"
"41",113793876,1,4,20,5,1,"r1c4"
"42",113829969,2,7,460,65.7142857142857,1,"r1c4"
"43",113974135,1,7,133,19,1,"r1c4"
"44",114046473,1,5,25,5,1,"r1c4"
"45",114118477,1,3,180,60,1,"r1c4"
"46",114118624,1,3,15,5,1,"r1c4"
"47",114226866,1,1,5,5,1,"r1c4"
"48",114226912,1,5,75,15,1,"r1c4"
"49",114263003,1,9,63,7,1,"r1c4"
"50",114334795,1,4,240,60,1,"r1c4"
"51",114334803,1,2,20,10,1,"r1c4"
"52",114370919,1,5,25,5,1,"r1c4"
"53",114371184,4,5,900,180,1,"r1c4"
"54",114407345,2,9,140,14,1,"r1c4"
"55",114587756,1,5,40,8,1,"r1c4"
"56",114695963,1,3,15,5,1,"r1c4"
"57",114767853,1,3,30,10,1,"r1c4"
"58",114876097,1,4,240,60,1,"r1c4"
"59",115850462,5,17,2260,102.727272727273,1,"r1c4"
"60",116355430,1,2,90,45,1,"r1c4"
"61",116680154,1,3,60,20,1,"r1c4"
"62",116680161,1,2,10,5,1,"r1c4"
"63",116752328,1,1,10,10,1,"r1c4"
"64",116824508,1,2,20,10,1,"r1c4"
"65",116896659,1,2,20,10,1,"r1c4"
"66",117040994,1,1,5,5,1,"r1c4"
"67",117040996,1,2,20,10,1,"r1c4"
"68",117581210,12,13,1716,132,1,"r1c4"
"69",117581627,7,19,3847,153.88,1,"r1c4"
"70",117617292,5,5,300,60,1,"r1c4"
"71",117653374,1,1,120,120,1,"r1c4"
"72",117653375,4,4,270,67.5,1,"r1c4"
"73",117870892,2,6,1230,205,1,"r1c4"
"74",118267529,2,3,261,87,1,"r1c4"
"75",118413561,1,4,240,60,1,"r1c4"
"76",118770919,1,9,288,32,1,"r1c4"
"77",119095770,1,1,180,180,1,"r1c4"
"78",119529960,2,2,32,16,1,"r1c4"
"79",119818604,5,19,3042,138.272727272727,2,"r1c4"
"80",119818605,1,14,2156,154,1,"r1c4"
"81",119854687,13,32,5894,107.163636363636,2,"r1c4"
"82",119854749,2,2,156,78,1,"r1c4"
"83",119890803,2,4,184,46,1,"r1c4"
"84",119926885,3,10,896,81.4545454545455,1,"r1c4"
"85",120071211,8,10,689,62.6363636363636,2,"r1c4"
"86",120107276,1,2,480,240,1,"r1c4"
"87",120143356,2,9,540,60,1,"r1c4"
"88",120179475,4,12,969,57,2,"r1c4"
"89",120286493,13,25,2438,64.1578947368421,3,"r1c4"
"90",120394742,1,8,240,30,1,"r1c4"
"91",120430824,13,15,1659,97.5882352941177,2,"r1c4"
"92",120466906,1,11,330,30,1,"r1c4"
"93",120684590,1,3,15,5,1,"r1c4"
"94",120720681,1,1,2,2,1,"r1c4"
"95",120756763,2,10,71,7.1,2,"r1c4"
"96",120756765,1,8,960,120,1,"r1c4"
"97",120756781,1,1,85,85,1,"r1c4"
"98",120792846,8,17,845,35.2083333333333,3,"r1c4"
"99",120792847,6,12,756,26.0689655172414,1,"r1c4"
"100",120828950,1,9,1080,120,1,"r1c4"
"101",120864995,4,7,139,13.9,2,"r1c4"
"102",120864998,1,1,180,180,1,"r1c4"
"103",120865008,2,2,160,80,1,"r1c4"
"104",120865014,11,28,5632,81.6231884057971,3,"r1c4"
"105",120865015,1,15,930,62,1,"r1c4"
"106",120937160,7,32,4405,107.439024390244,3,"r1c4"
"107",120937176,1,12,132,11,1,"r1c4"
"108",120937177,20,20,1210,60.5,1,"r1c4"
"109",120937189,10,10,1106,110.6,1,"r1c4"
"110",120972096,1,4,8,2,1,"r1c4"
"111",120973242,47,44,10190,77.1969696969697,3,"r1c4"
"112",120973243,9,43,17998,199.977777777778,2,"r1c4"
"113",120973249,8,8,384,48,1,"r1c4"
"114",120973250,2,2,12,6,1,"r1c4"
"115",120973259,5,6,1140,190,1,"r1c4"
"116",121009325,5,29,4309,143.633333333333,2,"r1c4"
"117",121117587,1,7,196,28,1,"r1c4"
"118",121117625,1,7,210,30,1,"r1c4"
"119",121189734,8,8,1920,240,1,"r1c4"
"120",121189735,2,17,933,38.875,1,"r1c4"
"121",121189736,2,2,143,71.5,2,"r1c4"
"122",121261901,1,13,754,58,1,"r1c4"
"123",121370179,3,16,2368,148,1,"r1c4"
"124",121804374,1,5,25,5,1,"r1c4"
"125",122309185,1,1,120,120,1,"r1c4"
"126",122523674,1,9,738,82,1,"r1c4"
"127",123065879,1,8,264,33,1,"r1c4"
"128",123715722,1,2,148,74,1,"r1c4"
"129",124039211,3,12,372,31,1,"r1c4"
"130",124076452,1,1,30,30,1,"r1c4"
"131",124440053,1,15,1350,90,1,"r1c4"
"132",125232906,2,5,300,60,1,"r1c4"
"133",126854740,1,4,120,30,1,"r1c4"
