"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"1",517428600,2,22,1430,65,1,"r4c2"
"2",517464682,2,11,607,55.1818181818182,2,"r4c2"
"3",517464690,1,4,264,66,1,"r4c2"
"4",517500771,1,6,420,70,1,"r4c2"
"5",517608614,1,14,560,40,1,"r4c2"
"6",517608973,1,9,495,55,1,"r4c2"
"7",517644618,1,11,605,55,1,"r4c2"
"8",517645039,1,1,4,4,1,"r4c2"
"9",517681130,4,21,649,24.9615384615385,3,"r4c2"
"10",517717211,1,5,105,21,1,"r4c2"
"11",517717215,1,14,322,23,1,"r4c2"
"12",517753293,1,15,660,44,1,"r4c2"
"13",517753294,1,11,275,25,1,"r4c2"
"14",517753295,1,13,273,21,1,"r4c2"
"15",517789374,1,9,405,45,1,"r4c2"
"16",517789375,30,66,12315,39.3450479233227,3,"r4c2"
"17",517825456,2,28,4357,150.241379310345,2,"r4c2"
"18",517861126,1,12,672,56,1,"r4c2"
"19",517897620,1,1,1,1,1,"r4c2"
"20",517897621,45,76,26998,56.3632567849687,3,"r4c2"
"21",517933699,1,7,175,25,1,"r4c2"
"22",517933702,1,3,6,2,1,"r4c2"
"23",517933703,2,14,1398,82.2352941176471,2,"r4c2"
"24",517969214,1,14,1680,120,1,"r4c2"
"25",517969781,2,9,24,2.66666666666667,1,"r4c2"
"26",517969785,2,17,550,20.3703703703704,2,"r4c2"
"27",517969786,3,15,517,20.68,1,"r4c2"
"28",518005305,1,7,420,60,1,"r4c2"
"29",518005863,1,21,1470,70,1,"r4c2"
"30",518005870,1,13,780,60,1,"r4c2"
"31",518005874,4,32,4158,71.6896551724138,2,"r4c2"
"32",518041500,1,8,80,10,1,"r4c2"
"33",518041947,4,27,3554,75.6170212765958,1,"r4c2"
"34",518041952,5,41,5872,101.241379310345,2,"r4c2"
"35",518041953,2,23,4150,143.103448275862,2,"r4c2"
"36",518041954,2,12,130,8.125,1,"r4c2"
"37",518041955,1,11,55,5,1,"r4c2"
"38",518041956,8,40,7921,70.7232142857143,1,"r4c2"
"39",518077581,6,23,421,13.15625,3,"r4c2"
"40",518077584,1,6,1290,215,1,"r4c2"
"41",518078028,3,24,4020,125.625,2,"r4c2"
"42",518078035,2,23,2502,67.6216216216216,1,"r4c2"
"43",518078036,3,28,1615,32.3,1,"r4c2"
"44",518114118,1,18,2160,120,1,"r4c2"
"45",518150192,6,15,836,39.8095238095238,1,"r4c2"
"46",518150199,2,16,528,27.7894736842105,2,"r4c2"
"47",518186283,1,14,280,20,1,"r4c2"
"48",518258445,1,17,1088,64,1,"r4c2"
"49",518293951,2,2,2,1,1,"r4c2"
"50",518294071,1,6,78,13,1,"r4c2"
"51",518294528,2,16,549,28.8947368421053,2,"r4c2"
"52",518330221,1,3,15,5,1,"r4c2"
"53",518330225,1,1,20,20,1,"r4c2"
"54",518402382,1,11,330,30,1,"r4c2"
"55",518438458,2,17,470,20.4347826086957,1,"r4c2"
"56",518438459,3,18,3240,180,1,"r4c2"
"57",518438463,1,10,120,12,1,"r4c2"
"58",518474523,1,12,204,17,1,"r4c2"
"59",518474524,1,7,35,5,1,"r4c2"
"60",518474529,1,9,270,30,1,"r4c2"
"61",518474533,1,9,117,13,1,"r4c2"
"62",518474542,4,28,4323,74.5344827586207,1,"r4c2"
"63",518474621,1,1,2,2,1,"r4c2"
"64",518546605,1,8,488,61,1,"r4c2"
"65",518582698,1,15,1620,108,1,"r4c2"
"66",518618865,1,6,120,20,1,"r4c2"
"67",518618866,1,10,20,2,1,"r4c2"
"68",518654951,1,15,1695,113,1,"r4c2"
"69",518690964,7,14,520,17.9310344827586,2,"r4c2"
"70",518691380,1,7,70,10,1,"r4c2"
"71",518726968,2,11,410,19.5238095238095,1,"r4c2"
"72",518799188,2,5,198,39.6,1,"r4c2"
"73",518835218,1,5,35,7,1,"r4c2"
"74",518835219,1,9,90,10,1,"r4c2"
"75",518835365,1,6,90,15,1,"r4c2"
"76",518871410,1,11,220,20,1,"r4c2"
"77",518908333,1,3,90,30,1,"r4c2"
"78",518943511,2,22,2198,78.5,2,"r4c2"
"79",518979600,1,6,174,29,1,"r4c2"
"80",518979601,1,10,190,19,1,"r4c2"
"81",518979602,5,21,1154,22.1923076923077,3,"r4c2"
"82",518979618,2,6,110,15.7142857142857,2,"r4c2"
"83",519015684,4,24,3227,92.2,3,"r4c2"
"84",519015685,2,12,312,19.5,2,"r4c2"
"85",519015698,1,14,994,71,1,"r4c2"
"86",519015701,8,21,1359,30.8863636363636,2,"r4c2"
"87",519015704,1,8,440,55,1,"r4c2"
"88",519015740,1,6,210,35,1,"r4c2"
"89",519051766,3,20,1332,41.625,2,"r4c2"
"90",519051767,3,20,2640,97.7777777777778,2,"r4c2"
"91",519051769,4,20,2895,96.5,2,"r4c2"
"92",519087871,1,15,600,40,1,"r4c2"
"93",519160066,1,4,240,60,1,"r4c2"
"94",519160103,2,21,1995,73.8888888888889,1,"r4c2"
"95",519196089,2,6,156,22.2857142857143,2,"r4c2"
"96",519196124,1,6,90,15,1,"r4c2"
"97",519232100,2,5,423,84.6,1,"r4c2"
"98",519232170,10,36,7572,80.5531914893617,3,"r4c2"
"99",519232171,2,16,2087,99.3809523809524,1,"r4c2"
"100",519232176,5,17,4358,124.514285714286,2,"r4c2"
"101",519232211,5,28,8644,135.0625,2,"r4c2"
"102",519232233,1,5,815,163,1,"r4c2"
"103",519232403,1,1,1,1,1,"r4c2"
"104",519268252,4,11,730,29.2,2,"r4c2"
"105",519268316,1,6,360,60,1,"r4c2"
"106",519268492,1,7,161,23,1,"r4c2"
"107",519268539,1,9,117,13,1,"r4c2"
"108",519304397,1,13,117,9,1,"r4c2"
"109",519304399,3,14,255,14.1666666666667,2,"r4c2"
"110",519304432,3,26,2535,61.8292682926829,1,"r4c2"
"111",519304621,1,7,49,7,1,"r4c2"
"112",519340463,1,6,480,80,1,"r4c2"
"113",519340464,1,12,480,40,1,"r4c2"
"114",519340513,3,21,3015,77.3076923076923,2,"r4c2"
"115",519340690,1,1,2,2,1,"r4c2"
"116",519340703,1,5,20,4,1,"r4c2"
"117",519376785,1,9,72,8,1,"r4c2"
"118",519412647,1,7,882,126,1,"r4c2"
"119",519448728,1,3,75,25,1,"r4c2"
"120",519448950,1,8,88,11,1,"r4c2"
"121",519448957,2,41,9248,165.142857142857,1,"r4c2"
"122",519484757,1,8,480,60,1,"r4c2"
"123",519484810,2,6,279,31,1,"r4c2"
"124",519484812,3,11,607,37.9375,2,"r4c2"
"125",519484826,3,29,3740,81.304347826087,2,"r4c2"
"126",519484827,5,29,6132,107.578947368421,2,"r4c2"
"127",519484828,1,20,1160,58,1,"r4c2"
"128",519520894,2,12,1350,75,1,"r4c2"
"129",519520895,3,18,1342,61,2,"r4c2"
"130",519520903,1,9,693,77,1,"r4c2"
"131",519556975,2,9,316,28.7272727272727,2,"r4c2"
"132",519556984,2,16,1460,58.4,1,"r4c2"
"133",519556991,1,14,1708,122,1,"r4c2"
"134",519556992,2,24,2835,85.9090909090909,1,"r4c2"
"135",519557197,2,33,3000,61.2244897959184,1,"r4c2"
"136",519557209,1,3,21,7,1,"r4c2"
"137",519557215,1,13,1066,82,1,"r4c2"
"138",519593036,1,14,3500,250,1,"r4c2"
"139",519593052,1,7,371,53,1,"r4c2"
"140",519593060,1,9,135,15,1,"r4c2"
"141",519593064,2,15,1820,91,1,"r4c2"
"142",519593920,1,6,180,30,1,"r4c2"
"143",519629135,1,5,150,30,1,"r4c2"
"144",519629142,3,25,3850,101.315789473684,2,"r4c2"
"145",519629147,1,1,13,13,1,"r4c2"
"146",519665184,1,11,605,55,1,"r4c2"
"147",519665218,1,9,1080,120,1,"r4c2"
"148",519665220,1,9,369,41,1,"r4c2"
"149",519665221,11,18,1396,25.8518518518519,3,"r4c2"
"150",519665223,1,3,45,15,1,"r4c2"
"151",519665454,1,22,308,14,1,"r4c2"
"152",519665458,1,6,30,5,1,"r4c2"
"153",519701305,27,14,3275,24.0808823529412,2,"r4c2"
"154",519701308,4,15,156,6.24,2,"r4c2"
"155",519701325,1,9,45,5,1,"r4c2"
"156",519701534,1,10,600,60,1,"r4c2"
"157",519701543,2,21,2035,58.1428571428571,1,"r4c2"
"158",519737377,1,12,600,50,1,"r4c2"
"159",519737387,3,10,518,43.1666666666667,2,"r4c2"
"160",519773465,1,5,105,21,1,"r4c2"
"161",519773466,2,8,422,38.3636363636364,2,"r4c2"
"162",519773467,1,11,715,65,1,"r4c2"
"163",519773469,1,5,10,2,1,"r4c2"
"164",519773470,1,10,580,58,1,"r4c2"
"165",519773619,4,32,929,15.7457627118644,2,"r4c2"
"166",519773693,2,20,274,9.13333333333333,1,"r4c2"
"167",519773697,1,1,1,1,1,"r4c2"
"168",519773700,1,5,300,60,1,"r4c2"
"169",519773708,1,15,1005,67,1,"r4c2"
"170",519773712,2,7,18,2,2,"r4c2"
"171",519773713,2,16,330,15,1,"r4c2"
"172",519773714,1,1,15,15,1,"r4c2"
"173",519774173,1,9,63,7,1,"r4c2"
"174",519809513,1,14,1120,80,1,"r4c2"
"175",519809778,2,19,348,12.8888888888889,2,"r4c2"
"176",519882064,1,1,5,5,1,"r4c2"
"177",519882065,2,2,10,5,1,"r4c2"
"178",519882069,1,7,35,5,1,"r4c2"
"179",519917798,1,1,1,1,1,"r4c2"
"180",519918049,1,13,221,17,1,"r4c2"
"181",519918143,1,1,5,5,1,"r4c2"
"182",519918144,3,4,22,5.5,1,"r4c2"
"183",519918146,3,5,35,5,1,"r4c2"
"184",519918147,2,3,20,5,1,"r4c2"
"185",519954226,1,1,5,5,1,"r4c2"
"186",519954227,2,4,25,5,1,"r4c2"
"187",519954228,5,4,30,5,1,"r4c2"
"188",519954229,11,31,4716,42.1071428571429,3,"r4c2"
"189",519989955,1,1,90,90,1,"r4c2"
"190",519989961,1,9,495,55,1,"r4c2"
"191",519989964,1,2,2,1,1,"r4c2"
"192",519990309,1,2,12,6,1,"r4c2"
"193",520026024,1,4,80,20,1,"r4c2"
"194",520026034,2,7,284,40.5714285714286,2,"r4c2"
"195",520026058,1,17,765,45,1,"r4c2"
"196",520026391,1,2,10,5,1,"r4c2"
"197",520026392,1,1,5,5,1,"r4c2"
"198",520026425,7,35,4252,86.7755102040816,3,"r4c2"
"199",520062139,3,26,1405,41.3235294117647,1,"r4c2"
"200",520062473,3,3,20,5,1,"r4c2"
"201",520062474,3,3,20,5,1,"r4c2"
"202",520062475,1,1,5,5,1,"r4c2"
"203",520098197,1,10,200,20,1,"r4c2"
"204",520098358,1,2,30,15,1,"r4c2"
"205",520098359,1,9,36,4,1,"r4c2"
"206",520098467,2,16,483,25.4210526315789,1,"r4c2"
"207",520098556,3,4,25,5,1,"r4c2"
"208",520134638,2,3,15,5,1,"r4c2"
"209",520170211,1,3,15,5,1,"r4c2"
"210",520170368,15,47,12503,53.4316239316239,2,"r4c2"
"211",520170619,1,15,255,17,1,"r4c2"
"212",520170743,1,9,270,30,1,"r4c2"
"213",520206456,1,4,40,10,1,"r4c2"
"214",520206605,1,2,10,5,1,"r4c2"
"215",520206711,1,12,96,8,1,"r4c2"
"216",520206713,1,5,15,3,1,"r4c2"
"217",520206802,8,29,2089,33.6935483870968,3,"r4c2"
"218",520242382,1,6,108,18,1,"r4c2"
"219",520242541,1,11,121,11,1,"r4c2"
