"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"540",132765379,1,7,140,20,1,"r2c3"
"541",132765380,1,9,288,32,1,"r2c3"
"542",132765383,5,32,7424,109.176470588235,2,"r2c3"
"543",132765728,5,24,2729,64.9761904761905,2,"r2c3"
"544",132765729,78,91,25931,34.806711409396,3,"r2c3"
"545",132765738,1,1,20,20,1,"r2c3"
"546",132766041,1,11,660,60,1,"r2c3"
"547",132799894,3,26,2113,48.0227272727273,1,"r2c3"
"548",132799900,1,7,273,39,1,"r2c3"
"549",132800047,1,11,176,16,1,"r2c3"
"550",132800111,1,28,1680,60,1,"r2c3"
"551",132800207,1,2,2,1,1,"r2c3"
"552",132800253,1,8,184,23,1,"r2c3"
"553",132800271,1,14,518,37,1,"r2c3"
"554",132800276,1,20,1700,85,1,"r2c3"
"555",132800347,1,2,16,8,1,"r2c3"
"556",132800415,2,22,1530,47.8125,1,"r2c3"
"557",132800636,1,19,4800,240,1,"r2c3"
"558",132800717,1,3,6,2,1,"r2c3"
"559",132800793,7,49,4777,51.9239130434783,3,"r2c3"
"560",132800794,1,16,656,41,1,"r2c3"
"561",132800930,1,13,390,30,1,"r2c3"
"562",132800933,5,40,7029,72.4639175257732,1,"r2c3"
"563",132800934,1,5,335,67,1,"r2c3"
"564",132800964,1,19,1710,90,1,"r2c3"
"565",132801013,2,19,2226,101.181818181818,2,"r2c3"
"566",132801022,1,12,264,22,1,"r2c3"
"567",132801027,1,7,210,30,1,"r2c3"
"568",132801070,1,7,182,26,1,"r2c3"
"569",132801085,1,11,407,37,1,"r2c3"
"570",132801086,2,19,1290,49.6153846153846,1,"r2c3"
"571",132801450,2,12,370,21.7647058823529,1,"r2c3"
"572",132801451,1,12,1140,95,1,"r2c3"
"573",132801452,10,20,4195,51.7901234567901,3,"r2c3"
"574",132801453,2,8,87,8.7,1,"r2c3"
"575",132801454,15,16,818,10.6233766233766,3,"r2c3"
"576",132801455,1,11,1980,180,1,"r2c3"
"577",132801456,7,29,3730,40.1075268817204,3,"r2c3"
