"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"40452",152854614,1,18,72,4,1,"r2c2ABA"
"40453",152854621,17,60,10365,41.7943548387097,3,"r2c2ABA"
"40454",152854625,3,15,66,3,1,"r2c2ABA"
"40455",152854634,2,11,392,28,1,"r2c2ABA"
"40456",152854675,2,17,72,3,1,"r2c2ABA"
"40457",152854681,1,13,39,3,1,"r2c2ABA"
"40458",152854682,1,13,39,3,1,"r2c2ABA"
"40459",152854698,4,32,489,10.8666666666667,2,"r2c2ABA"
"40460",152854738,1,3,9,3,1,"r2c2ABA"
"40461",152854770,1,9,225,25,1,"r2c2ABA"
"40462",152854774,1,11,363,33,1,"r2c2ABA"
"40463",152854777,6,17,753,20.3513513513514,2,"r2c2ABA"
"40464",152854779,1,1,2,2,1,"r2c2ABA"
"40465",152854782,1,20,180,9,1,"r2c2ABA"
"40466",152854808,4,20,342,11.0322580645161,2,"r2c2ABA"
"40467",152854815,2,17,327,15.5714285714286,2,"r2c2ABA"
"40468",152854816,20,67,6937,18.4494680851064,3,"r2c2ABA"
"40469",152854818,1,2,2,1,1,"r2c2ABA"
"40470",152854846,35,94,90247,115.849807445443,3,"r2c2ABA"
"40471",152854865,5,37,3525,41.4705882352941,2,"r2c2ABA"
"40472",152854867,1,9,423,47,1,"r2c2ABA"
"40473",152854869,6,28,235,4.6078431372549,2,"r2c2ABA"
"40474",152854873,1,1,7,7,1,"r2c2ABA"
"40475",152854899,1,9,45,5,1,"r2c2ABA"
"40476",152854908,1,8,176,22,1,"r2c2ABA"
"40477",152854920,4,46,7694,77.7171717171717,2,"r2c2ABA"
"40478",152854927,23,35,25218,96.6206896551724,3,"r2c2ABA"
"40479",152854939,1,7,56,8,1,"r2c2ABA"
"40480",152854945,5,34,2752,38.7605633802817,2,"r2c2ABA"
"40481",152854948,3,12,500,25,1,"r2c2ABA"
"40482",152854949,1,5,65,13,1,"r2c2ABA"
"40483",152854950,2,2,5,1.66666666666667,1,"r2c2ABA"
"40484",152854953,2,14,957,43.5,1,"r2c2ABA"
"40485",152854958,6,32,4808,70.7058823529412,2,"r2c2ABA"
"40486",152854960,1,14,840,60,1,"r2c2ABA"
"40487",152854961,4,40,3423,54.3333333333333,3,"r2c2ABA"
"40488",152854962,7,29,1655,33.1,3,"r2c2ABA"
"40489",152854963,30,66,58313,86.1344165435746,3,"r2c2ABA"
"40490",152854966,2,13,1128,59.3684210526316,2,"r2c2ABA"
"40491",152854968,4,21,4150,79.8076923076923,3,"r2c2ABA"
"40492",152854969,10,33,4078,30.6616541353383,3,"r2c2ABA"
"40493",152854975,1,12,132,11,1,"r2c2ABA"
"40494",152854976,13,71,16790,66.6269841269841,3,"r2c2ABA"
"40495",152854977,1,4,40,10,1,"r2c2ABA"
"40496",152854982,7,24,831,15.1090909090909,2,"r2c2ABA"
"40497",152854986,1,4,20,5,1,"r2c2ABA"
"40498",152854994,1,22,44,2,1,"r2c2ABA"
"40499",152854996,3,20,87,3,1,"r2c2ABA"
"40500",152854999,2,47,8769,118.5,1,"r2c2ABA"
"40501",152855000,1,19,1235,65,1,"r2c2ABA"
"40502",152855001,1,1,74,74,1,"r2c2ABA"
"40503",152855008,3,13,1412,64.1818181818182,2,"r2c2ABA"
"40504",152855009,1,10,340,34,1,"r2c2ABA"
"40505",152890669,1,11,264,24,1,"r2c2ABA"
"40506",152890695,1,8,312,39,1,"r2c2ABA"
"40507",152890698,3,36,1791,29.85,2,"r2c2ABA"
"40508",152890705,14,68,17702,66.5488721804511,3,"r2c2ABA"
"40509",152890714,1,5,10,2,1,"r2c2ABA"
"40510",152890732,1,5,10,2,1,"r2c2ABA"
"40511",152890757,1,31,3193,103,1,"r2c2ABA"
"40512",152890758,2,18,69,3,1,"r2c2ABA"
"40513",152890762,1,15,45,3,1,"r2c2ABA"
"40514",152890773,1,6,36,6,1,"r2c2ABA"
"40515",152890829,1,11,88,8,1,"r2c2ABA"
"40516",152890856,1,13,728,56,1,"r2c2ABA"
"40517",152890859,205,101,113617,29.1176319835982,3,"r2c2ABA"
"40518",152890869,2,2,14,7,2,"r2c2ABA"
"40519",152890871,2,38,6751,135.02,2,"r2c2ABA"
"40520",152890875,1,3,9,3,1,"r2c2ABA"
"40521",152890877,1,6,36,6,1,"r2c2ABA"
"40522",152890889,1,5,100,20,1,"r2c2ABA"
"40523",152890896,2,31,3480,108.75,2,"r2c2ABA"
"40524",152890949,1,7,210,30,1,"r2c2ABA"
"40525",152890954,1,1,1,1,1,"r2c2ABA"
"40526",152890988,10,45,10008,69.986013986014,3,"r2c2ABA"
"40527",152891012,1,27,1296,48,1,"r2c2ABA"
"40528",152891015,20,46,10674,45.8111587982833,1,"r2c2ABA"
"40529",152891017,1,8,736,92,1,"r2c2ABA"
"40530",152891018,19,53,2020,9.30875576036866,3,"r2c2ABA"
"40531",152891021,133,68,37608,28.8626247122026,3,"r2c2ABA"
"40532",152891022,8,43,4503,39.1565217391304,3,"r2c2ABA"
"40533",152891024,1,4,260,65,1,"r2c2ABA"
"40534",152891025,3,23,710,18.6842105263158,2,"r2c2ABA"
"40535",152891027,1,18,1080,60,1,"r2c2ABA"
"40536",152891029,1,17,340,20,1,"r2c2ABA"
"40537",152891032,19,37,6592,36.2197802197802,3,"r2c2ABA"
"40538",152891033,19,18,30197,145.87922705314,3,"r2c2ABA"
"40539",152891036,4,24,1293,29.3863636363636,2,"r2c2ABA"
"40540",152891038,3,38,10708,155.188405797101,2,"r2c2ABA"
"40541",152891039,1,5,225,45,1,"r2c2ABA"
"40542",152891042,9,50,18598,97.8842105263158,3,"r2c2ABA"
"40543",152891043,17,41,10402,52.2713567839196,3,"r2c2ABA"
"40544",152891044,3,24,1488,46.5,2,"r2c2ABA"
"40545",152891045,27,62,25150,65.3246753246753,3,"r2c2ABA"
"40546",152891047,3,5,27,5.4,1,"r2c2ABA"
"40547",152891048,1,1,5,5,1,"r2c2ABA"
"40548",152891049,2,10,172,15.6363636363636,1,"r2c2ABA"
"40549",152891050,6,41,3937,49.8354430379747,2,"r2c2ABA"
"40550",152891059,1,9,99,11,1,"r2c2ABA"
"40551",152891063,33,67,27966,48.8062827225131,3,"r2c2ABA"
