"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"1",324748123,2,52,9285,147.380952380952,2,"r3c2"
"2",324748125,1,61,7320,120,1,"r3c2"
"3",324748130,16,108,36167,122.185810810811,2,"r3c2"
"4",324748132,1,10,110,11,1,"r3c2"
"5",324748142,2,18,1152,64,1,"r3c2"
"6",324748150,1,85,935,11,1,"r3c2"
"7",324748152,58,133,178451,150.973773265651,3,"r3c2"
"8",324748153,6,16,954,45.4285714285714,1,"r3c2"
"9",324748155,4,78,12417,84.469387755102,2,"r3c2"
"10",324748156,10,99,23911,123.252577319588,3,"r3c2"
"11",324748158,10,49,3410,51.6666666666667,3,"r3c2"
"12",324748172,18,32,7922,68.2931034482759,3,"r3c2"
"13",324748173,1,6,720,120,1,"r3c2"
"14",324748178,26,39,11832,69.1929824561404,3,"r3c2"
"15",324748179,8,18,1889,38.5510204081633,3,"r3c2"
"16",324748181,2,7,104,13,1,"r3c2"
"17",324748193,2,7,83,11.8571428571429,1,"r3c2"
"18",324748206,3,28,13263,195.044117647059,3,"r3c2"
"19",324748207,1,5,150,30,1,"r3c2"
"20",324748399,2,2,380,190,1,"r3c2"
"21",324748406,3,18,798,44.3333333333333,3,"r3c2"
"22",324748407,3,30,7616,195.282051282051,2,"r3c2"
"23",324756042,1,1,45,45,1,"r3c2"
"24",324784167,2,84,16920,190.112359550562,1,"r3c2"
"25",324784216,1,6,36,6,1,"r3c2"
"26",324784225,1,22,1210,55,1,"r3c2"
"27",324784232,9,78,19800,166.386554621849,3,"r3c2"
"28",324784233,31,139,86029,163.242884250474,3,"r3c2"
"29",324784237,1,6,138,23,1,"r3c2"
"30",324784238,344,266,780311,138.328487856763,3,"r3c2"
"31",324784261,2,2,25,8.33333333333333,2,"r3c2"
"32",324784263,1,18,1440,80,1,"r3c2"
"33",324784443,1,6,150,25,1,"r3c2"
"34",324784455,1,6,60,10,1,"r3c2"
"35",324784488,17,91,26658,116.410480349345,3,"r3c2"
"36",324784489,12,105,22835,102.399103139013,3,"r3c2"
"37",324820307,24,154,47787,110.874709976798,2,"r3c2"
"38",324820310,2,93,34170,255,2,"r3c2"
"39",324820311,1,17,1598,94,1,"r3c2"
"40",324820312,2,91,23300,209.90990990991,2,"r3c2"
"41",324820313,1,32,5760,180,1,"r3c2"
"42",324820314,18,149,31402,85.3315217391304,3,"r3c2"
"43",324820315,1,10,1200,120,1,"r3c2"
"44",324820319,64,165,175879,177.476286579213,3,"r3c2"
"45",324820320,78,154,117737,126.598924731183,3,"r3c2"
"46",324820323,33,112,13776,49.0249110320285,3,"r3c2"
"47",324820324,1,8,72,9,1,"r3c2"
"48",324820345,1,1,84,84,1,"r3c2"
"49",324820359,6,13,831,19.3255813953488,3,"r3c2"
"50",324820371,1,6,360,60,1,"r3c2"
"51",324820570,10,80,12233,96.3228346456693,3,"r3c2"
"52",324856381,2,27,1020,32.9032258064516,2,"r3c2"
"53",324856382,17,118,57410,226.916996047431,3,"r3c2"
"54",324856388,5,99,62286,265.046808510638,1,"r3c2"
"55",324856389,4,54,4950,82.5,2,"r3c2"
"56",324856393,60,161,217423,110.423057389538,3,"r3c2"
"57",324856394,326,262,561188,103.942952398592,3,"r3c2"
"58",324856395,189,177,453145,104.6765996766,3,"r3c2"
"59",324856396,7,71,10241,98.4711538461538,3,"r3c2"
"60",324856397,7,87,23130,155.234899328859,1,"r3c2"
"61",324856398,101,186,329667,153.906162464986,3,"r3c2"
"62",324856400,1,5,185,37,1,"r3c2"
"63",324856401,20,72,11162,59.3723404255319,3,"r3c2"
"64",324856406,1,1,21,21,1,"r3c2"
"65",324856414,3,28,1774,55.4375,1,"r3c2"
"66",324856638,1,12,540,45,1,"r3c2"
"67",324856639,2,21,1620,60,2,"r3c2"
"68",324856650,2,2,35,17.5,2,"r3c2"
"69",324856651,2,33,4233,128.272727272727,2,"r3c2"
"70",324892456,3,40,3132,58,2,"r3c2"
"71",324892464,5,56,11975,178.731343283582,3,"r3c2"
"72",324892471,1,14,210,15,1,"r3c2"
"73",324892472,22,101,41852,114.66301369863,2,"r3c2"
"74",324892473,1,20,1780,89,1,"r3c2"
"75",324892475,2,24,1098,45.75,1,"r3c2"
"76",324892476,2,69,7692,109.885714285714,2,"r3c2"
"77",324892481,42,153,94512,169.680430879713,3,"r3c2"
"78",324892482,1,3,102,34,1,"r3c2"
"79",324892488,3,38,2349,44.3207547169811,3,"r3c2"
"80",324892489,2,12,345,26.5384615384615,1,"r3c2"
"81",324892729,2,29,1980,60,2,"r3c2"
"82",324892736,3,39,2427,49.530612244898,1,"r3c2"
"83",324893259,1,1,120,120,1,"r3c2"
"84",324928546,34,128,54799,210.765384615385,3,"r3c2"
"85",324928552,1,37,3182,86,1,"r3c2"
"86",324928556,5,60,4650,75,3,"r3c2"
"87",324928557,5,17,1215,71.4705882352941,3,"r3c2"
"88",324928558,6,43,6807,126.055555555556,2,"r3c2"
"89",324928571,4,9,240,18.4615384615385,2,"r3c2"
"90",324928589,4,28,6750,105.46875,2,"r3c2"
"91",324928815,2,13,522,37.2857142857143,1,"r3c2"
"92",324928977,4,67,15960,183.448275862069,2,"r3c2"
"93",324931323,4,35,3046,49.9344262295082,1,"r3c2"
"94",324931330,1,9,306,34,1,"r3c2"
"95",324964620,1,52,6240,120,1,"r3c2"
"96",324964630,12,148,57616,163.218130311615,3,"r3c2"
"97",324964637,18,96,13524,71.178947368421,3,"r3c2"
"98",324964638,459,317,1154177,107.44526159002,3,"r3c2"
"99",324964639,226,273,588234,126.474736615782,3,"r3c2"
"100",324964640,3,120,37214,188.903553299492,1,"r3c2"
"101",324964653,8,20,485,17.3214285714286,2,"r3c2"
"102",324964654,3,10,517,43.0833333333333,1,"r3c2"
"103",324964670,4,13,2785,87.03125,3,"r3c2"
"104",324964681,2,8,248,20.6666666666667,2,"r3c2"
"105",324965058,4,104,15870,129.024390243902,2,"r3c2"
"106",324965061,1,60,14400,240,1,"r3c2"
"107",324967409,1,2,50,25,1,"r3c2"
"108",325000710,2,31,2895,87.7272727272727,2,"r3c2"
"109",325000717,1,50,10000,200,1,"r3c2"
"110",325000718,1,85,14280,168,1,"r3c2"
"111",325000719,40,189,225608,160.232954545455,3,"r3c2"
"112",325000720,19,137,35177,97.7138888888889,3,"r3c2"
"113",325000721,295,331,1490551,168.42384180791,3,"r3c2"
"114",325000722,20,118,36744,104.982857142857,3,"r3c2"
"115",325000736,1,2,50,25,1,"r3c2"
"116",325000737,7,24,1639,54.6333333333333,3,"r3c2"
"117",325000738,4,32,7300,202.777777777778,3,"r3c2"
"118",325000740,3,15,1807,62.3103448275862,2,"r3c2"
"119",325000741,1,23,1656,72,1,"r3c2"
"120",325000755,2,7,407,45.2222222222222,2,"r3c2"
"121",325000763,1,18,810,45,1,"r3c2"
"122",325000943,1,1,10,10,1,"r3c2"
"123",325000981,2,23,4400,157.142857142857,1,"r3c2"
"124",325001132,2,50,1014,16.6229508196721,2,"r3c2"
"125",325001141,4,34,5880,147,1,"r3c2"
"126",325003486,2,8,216,18,2,"r3c2"
"127",325036792,6,60,13794,136.574257425743,3,"r3c2"
"128",325036800,4,97,32457,226.972027972028,3,"r3c2"
"129",325036801,2,12,460,38.3333333333333,1,"r3c2"
"130",325036802,8,128,44601,137.657407407407,2,"r3c2"
"131",325036803,215,259,775476,145.46539110861,3,"r3c2"
"132",325036804,66,194,59071,54.7968460111317,3,"r3c2"
"133",325036819,5,14,589,34.6470588235294,3,"r3c2"
"134",325036820,2,8,65,7.22222222222222,1,"r3c2"
"135",325036821,15,66,10980,97.1681415929203,3,"r3c2"
"136",325036822,2,18,1590,79.5,1,"r3c2"
"137",325036838,1,5,125,25,1,"r3c2"
"138",325036844,12,33,24054,168.20979020979,3,"r3c2"
"139",325037064,10,46,4395,69.7619047619048,2,"r3c2"
"140",325037224,7,50,5216,85.5081967213115,3,"r3c2"
"141",325072745,5,93,48900,209.871244635193,2,"r3c2"
"142",325072746,1,30,2700,90,1,"r3c2"
"143",325072882,1,57,12711,223,1,"r3c2"
"144",325072885,163,259,652171,156.847282347282,3,"r3c2"
"145",325072886,8,79,8791,79.1981981981982,3,"r3c2"
"146",325072887,16,127,19947,72.2717391304348,2,"r3c2"
"147",325072889,3,69,11578,125.847826086957,2,"r3c2"
