"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"1",522706008,2,3,180,60,1,"r4c3"
"2",522994672,3,10,600,60,1,"r4c3"
"3",523101836,1,3,96,32,1,"r4c3"
"4",523282244,1,3,24,8,1,"r4c3"
"5",524833714,3,17,502,17.9285714285714,2,"r4c3"
"6",524942003,1,9,252,28,1,"r4c3"
"7",525050245,1,21,3780,180,1,"r4c3"
"8",533098923,2,13,840,36.5217391304348,2,"r4c3"
"9",533784487,2,21,5730,163.714285714286,1,"r4c3"
"10",534325659,1,3,180,60,1,"r4c3"
"11",534650391,8,13,595,45.7692307692308,1,"r4c3"
"12",534686482,3,5,450,90,1,"r4c3"
"13",594437668,2,5,660,94.2857142857143,2,"r4c3"
"14",602952220,2,3,810,135,1,"r4c3"
"15",604283904,1,3,540,180,1,"r4c3"
