"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"1",18965090,1,7,77,11,1,"r1c4"
"2",36286364,1,6,48,8,1,"r1c4"
"3",36322447,3,29,7021,163.279069767442,1,"r1c4"
"4",36502858,2,28,2688,96,1,"r1c4"
"5",36502859,2,21,2497,71.3428571428571,1,"r1c4"
"6",36538943,1,15,870,58,1,"r1c4"
"7",36538944,2,22,1668,52.125,1,"r1c4"
"8",37116288,1,3,9,3,1,"r1c4"
"9",37116293,1,2,18,9,1,"r1c4"
"10",37152364,1,8,928,116,1,"r1c4"
"11",37152368,4,9,1431,119.25,1,"r1c4"
"12",37152369,14,25,3219,41.8051948051948,2,"r1c4"
"13",37152388,1,3,3,1,1,"r1c4"
"14",37152390,1,1,1,1,1,"r1c4"
"15",37188447,2,4,5,1,1,"r1c4"
"16",37224524,11,26,14031,85.0363636363636,1,"r1c4"
"17",37260663,1,2,2,1,1,"r1c4"
"18",37477181,1,1,1,1,1,"r1c4"
"19",37729785,2,6,56,8,1,"r1c4"
"20",37910214,1,3,6,2,1,"r1c4"
"21",37946300,1,3,6,2,1,"r1c4"
"22",38126730,1,1,2,2,1,"r1c4"
"23",38126733,1,2,4,2,1,"r1c4"
"24",38126734,1,1,1,1,1,"r1c4"
"25",38162820,1,2,2,1,1,"r1c4"
"26",38523668,1,1,1,1,1,"r1c4"
"27",38631927,1,1,1,1,1,"r1c4"
"28",38668012,1,1,1,1,1,"r1c4"
"29",38920607,1,7,413,59,1,"r1c4"
"30",38920610,1,1,1,1,1,"r1c4"
"31",38956691,1,7,343,49,1,"r1c4"
"32",38956692,1,9,576,64,1,"r1c4"
"33",38992776,4,27,2486,59.1904761904762,1,"r1c4"
"34",39317545,1,2,8,4,1,"r1c4"
"35",39389714,5,14,1648,45.7777777777778,2,"r1c4"
"36",39389716,1,11,660,60,1,"r1c4"
"37",40438620,1,3,135,45,1,"r1c4"
"38",40943787,1,3,210,70,1,"r1c4"
"39",41521215,1,5,650,130,1,"r1c4"
"40",60754461,5,31,7456,162.086956521739,2,"r1c4"
"41",60754466,20,22,1343,61.0454545454545,1,"r1c4"
"42",60790551,3,6,1156,192.666666666667,1,"r1c4"
"43",60934886,2,11,330,30,1,"r1c4"
"44",61115343,1,2,10,5,1,"r1c4"
"45",61295784,1,5,1500,300,1,"r1c4"
"46",67610501,5,28,5138,90.140350877193,1,"r1c4"
"47",67935268,211,112,203230,83.9793388429752,2,"r1c4"
"48",68043585,1,1,60,60,1,"r1c4"
"49",68079605,2,16,1920,120,1,"r1c4"
"50",68079668,1,4,40,10,1,"r1c4"
"51",68115688,4,14,555,37,1,"r1c4"
"52",68151837,3,14,1240,56.3636363636364,1,"r1c4"
"53",68296246,2,30,5640,148.421052631579,1,"r1c4"
"54",68440580,1,18,2394,133,1,"r1c4"
"55",68512665,1,10,100,10,1,"r1c4"
"56",68798378,4,35,10950,210.576923076923,1,"r1c4"
"57",68906626,1,16,368,23,1,"r1c4"
"58",69411763,1,25,4775,191,1,"r1c4"
"59",69447846,1,14,910,65,1,"r1c4"
"60",69447847,1,17,1037,61,1,"r1c4"
"61",69483930,1,10,480,48,1,"r1c4"
"62",69520012,1,8,168,21,1,"r1c4"
"63",69520013,4,18,795,29.4444444444444,1,"r1c4"
"64",69520014,1,17,2788,164,1,"r1c4"
"65",69520042,7,21,2104,48.9302325581395,2,"r1c4"
"66",69556093,1,17,3485,205,1,"r1c4"
"67",69556094,2,8,446,49.5555555555556,1,"r1c4"
"68",69556095,1,5,80,16,1,"r1c4"
"69",69556096,3,24,5786,214.296296296296,2,"r1c4"
"70",69556097,2,4,256,64,1,"r1c4"
"71",69556125,1,14,518,37,1,"r1c4"
"72",69700454,5,12,516,39.6923076923077,1,"r1c4"
"73",70136276,1,19,2375,125,1,"r1c4"
"74",70172383,1,10,1210,121,1,"r1c4"
"75",70388872,1,9,63,7,1,"r1c4"
"76",70569251,2,2,120,60,1,"r1c4"
"77",71038310,2,3,540,180,1,"r1c4"
"78",71177402,1,9,1890,210,1,"r1c4"
"79",71868207,1,3,180,60,1,"r1c4"
"80",71976465,1,1,210,210,1,"r1c4"
"81",72517694,2,12,924,77,1,"r1c4"
"82",72842450,1,5,605,121,1,"r1c4"
"83",72842464,2,29,7392,184.8,1,"r1c4"
"84",73058963,1,11,1573,143,1,"r1c4"
"85",73095032,1,7,420,60,1,"r1c4"
"86",73131116,1,2,16,8,1,"r1c4"
"87",73131119,1,34,6120,180,1,"r1c4"
"88",73455879,1,1,60,60,1,"r1c4"
"89",75187827,5,24,3296,109.866666666667,1,"r1c4"
"90",75223678,2,9,657,73,1,"r1c4"
"91",75223679,1,21,2562,122,1,"r1c4"
"92",75223681,2,11,627,57,1,"r1c4"
"93",75259763,1,37,4440,120,1,"r1c4"
"94",75656681,1,1,270,270,1,"r1c4"
"95",75693326,1,3,720,240,1,"r1c4"
"96",75837093,1,17,3553,209,1,"r1c4"
"97",76414335,1,6,36,6,1,"r1c4"
"98",76486506,1,5,100,20,1,"r1c4"
"99",76486747,1,10,100,10,1,"r1c4"
"100",76595078,3,12,360,30,1,"r1c4"
"101",76595080,1,12,1428,119,1,"r1c4"
"102",77099994,4,12,1080,90,1,"r1c4"
"103",77099995,1,21,2961,141,1,"r1c4"
"104",77640206,1,4,120,30,1,"r1c4"
"105",77676315,1,8,360,45,1,"r1c4"
"106",77965921,1,21,3780,180,1,"r1c4"
"107",78001136,2,29,7740,180,1,"r1c4"
"108",78002008,1,14,840,60,1,"r1c4"
"109",78037218,1,6,120,20,1,"r1c4"
"110",78038090,1,14,1176,84,1,"r1c4"
"111",78073299,1,21,2520,120,1,"r1c4"
"112",78073300,1,12,720,60,1,"r1c4"
"113",78181524,3,3,540,180,1,"r1c4"
"114",78361946,2,19,1152,57.6,1,"r1c4"
"115",78362750,1,3,72,24,1,"r1c4"
"116",78398834,1,13,741,57,1,"r1c4"
"117",78830534,3,22,5220,180,1,"r1c4"
"118",79011336,2,12,840,60,1,"r1c4"
"119",80455685,1,28,3360,120,1,"r1c4"
"120",81682497,1,20,1800,90,1,"r1c4"
"121",87453295,1,2,12,6,1,"r1c4"
"122",89688082,1,7,420,60,1,"r1c4"
"123",89941057,1,16,3840,240,1,"r1c4"
"124",90049053,2,2,146,73,1,"r1c4"
"125",90590331,1,11,704,64,1,"r1c4"
"126",90626413,1,1,159,159,1,"r1c4"
"127",90698564,1,2,214,107,1,"r1c4"
"128",90698568,1,2,4,2,1,"r1c4"
"129",90806804,1,2,150,75,1,"r1c4"
"130",90842898,1,14,2380,170,1,"r1c4"
"131",90951147,3,4,480,120,1,"r1c4"
"132",90955746,1,19,4560,240,1,"r1c4"
"133",90991831,6,28,7815,102.828947368421,2,"r1c4"
"134",90991898,4,32,2240,49.7777777777778,2,"r1c4"
"135",91497118,1,5,600,120,1,"r1c4"
"136",91533192,1,4,40,10,1,"r1c4"
"137",91821867,5,3,2400,200,1,"r1c4"
"138",92214466,1,13,1950,150,1,"r1c4"
"139",93265608,2,10,883,80.2727272727273,1,"r1c4"
"140",93442096,6,6,720,120,1,"r1c4"
"141",93518197,4,16,1386,72.9473684210526,1,"r1c4"
"142",93554282,1,14,840,60,1,"r1c4"
"143",93590374,2,11,705,58.75,2,"r1c4"
"144",93590379,5,17,1917,100.894736842105,1,"r1c4"
"145",93626462,3,16,5220,180,1,"r1c4"
"146",93843003,1,7,70,10,1,"r1c4"
"147",94059179,1,32,4512,141,1,"r1c4"
"148",94528596,1,6,960,160,1,"r1c4"
"149",94564678,1,1,120,120,1,"r1c4"
"150",94564681,2,2,138,69,1,"r1c4"
"151",94997762,2,5,100,20,1,"r1c4"
"152",95033841,5,27,6743,134.86,1,"r1c4"
"153",95069929,6,22,3263,108.766666666667,1,"r1c4"
