"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","square"
"1",10120275,1,1,9,9,1,"r1c2"
"2",10120276,4,3,240,34.2857142857143,1,"r1c2"
"3",10120277,1,1,173,173,1,"r1c2"
"4",11635863,1,1,197,197,1,"r1c2"
"5",12068580,1,4,240,60,1,"r1c2"
"6",13331814,7,5,172,13.2307692307692,1,"r1c2"
"7",13403978,2,3,288,57.6,1,"r1c2"
"8",13440071,1,1,10,10,1,"r1c2"
"9",14774984,1,4,60,15,1,"r1c2"
"10",17012190,1,2,60,30,1,"r1c2"
"11",17082018,1,3,45,15,1,"r1c2"
"12",17373100,1,2,120,60,1,"r1c2"
"13",21159466,1,6,1506,251,1,"r1c2"
"14",21378020,1,7,420,60,1,"r1c2"
"15",21991906,1,3,18,6,1,"r1c2"
"16",22494501,1,11,935,85,1,"r1c2"
"17",23324397,2,9,1086,77.5714285714286,1,"r1c2"
"18",23324398,2,7,150,16.6666666666667,1,"r1c2"
"19",24875816,1,4,936,234,1,"r1c2"
"20",25130383,1,2,20,10,1,"r1c2"
"21",25346846,1,1,300,300,1,"r1c2"
"22",25669623,1,3,453,151,1,"r1c2"
"23",26029864,2,7,634,63.4,1,"r1c2"
"24",26140819,1,5,150,30,1,"r1c2"
"25",27112986,1,11,616,56,1,"r1c2"
"26",27617518,1,7,896,128,1,"r1c2"
"27",28771654,1,3,762,254,1,"r1c2"
"28",29424153,1,2,120,60,1,"r1c2"
"29",30107058,1,3,90,30,1,"r1c2"
"30",30142952,1,3,21,7,1,"r1c2"
"31",30142954,1,2,220,110,1,"r1c2"
"32",30326335,1,2,50,25,1,"r1c2"
"33",30395526,1,3,480,120,1,"r1c2"
"34",30467686,1,4,76,19,1,"r1c2"
"35",30576093,1,4,36,9,1,"r1c2"
"36",30720147,1,4,240,60,1,"r1c2"
"37",31010010,2,6,1380,172.5,1,"r1c2"
"38",31117161,8,16,5763,144.075,2,"r1c2"
"39",31117163,1,3,123,41,1,"r1c2"
"40",31153150,1,7,840,120,1,"r1c2"
"41",31153241,2,4,340,56.6666666666667,1,"r1c2"
"42",31153244,1,6,1170,195,1,"r1c2"
"43",31192226,1,2,66,33,1,"r1c2"
"44",31369539,1,6,6,1,1,"r1c2"
"45",31369737,1,3,21,7,1,"r1c2"
"46",32487877,1,5,140,28,1,"r1c2"
"47",32596118,5,10,2700,103.846153846154,1,"r1c2"
"48",33390121,2,13,3107,239,1,"r1c2"
"49",33428878,1,2,10,5,1,"r1c2"
"50",33462412,1,6,540,90,1,"r1c2"
"51",33534685,1,7,630,90,1,"r1c2"
"52",33967166,1,3,24,8,1,"r1c2"
"53",34039728,1,3,540,180,1,"r1c2"
"54",34042396,1,8,1440,180,1,"r1c2"
"55",34075654,1,7,315,45,1,"r1c2"
"56",34475205,1,8,1200,150,1,"r1c2"
"57",34580569,1,6,1080,180,1,"r1c2"
"58",34905697,1,9,918,102,1,"r1c2"
"59",34977847,13,17,16135,149.398148148148,3,"r1c2"
"60",34977848,3,12,1272,50.88,2,"r1c2"
"61",34977849,42,29,15292,48.5460317460317,3,"r1c2"
"62",34977851,1,11,528,48,1,"r1c2"
"63",34977852,1,9,774,86,1,"r1c2"
"64",35013903,1,6,720,120,1,"r1c2"
"65",35013927,1,9,1368,152,1,"r1c2"
"66",35013929,2,14,2332,106,1,"r1c2"
"67",35013930,1,10,1270,127,1,"r1c2"
"68",35013931,1,4,120,30,1,"r1c2"
"69",35013932,5,14,3904,114.823529411765,2,"r1c2"
"70",35013934,3,15,4396,157,2,"r1c2"
"71",35049764,2,16,2554,102.16,1,"r1c2"
"72",35050003,1,12,684,57,1,"r1c2"
"73",35050004,1,13,598,46,1,"r1c2"
"74",35050008,1,11,1694,154,1,"r1c2"
"75",35050009,1,3,12,4,1,"r1c2"
"76",35050010,1,6,360,60,1,"r1c2"
"77",35052486,1,5,900,180,1,"r1c2"
"78",35086095,1,8,1192,149,1,"r1c2"
"79",35124776,1,3,480,160,1,"r1c2"
"80",35160846,1,2,240,120,1,"r1c2"
"81",35194319,1,2,4,2,1,"r1c2"
"82",35194323,1,11,253,23,1,"r1c2"
"83",35230417,1,8,384,48,1,"r1c2"
"84",35266252,3,7,660,60,2,"r1c2"
"85",35266255,1,3,21,7,1,"r1c2"
"86",35338414,3,4,51,5.66666666666667,1,"r1c2"
"87",35338415,2,6,260,32.5,1,"r1c2"
"88",35338417,1,6,180,30,1,"r1c2"
"89",35338418,1,8,520,65,1,"r1c2"
"90",35338678,1,5,670,134,1,"r1c2"
"91",35410576,2,5,144,18,1,"r1c2"
"92",35410580,1,1,9,9,1,"r1c2"
"93",35410581,1,7,399,57,1,"r1c2"
"94",35446662,53,32,14700,48.0392156862745,3,"r1c2"
"95",35446663,1,7,42,6,1,"r1c2"
"96",35446665,1,1,40,40,1,"r1c2"
"97",35446668,3,8,415,46.1111111111111,2,"r1c2"
"98",35446671,1,1,10,10,1,"r1c2"
"99",35482746,1,3,300,100,1,"r1c2"
"100",35482761,1,2,80,40,1,"r1c2"
"101",35627474,1,5,690,138,1,"r1c2"
"102",35735537,1,11,583,53,1,"r1c2"
"103",35735538,2,12,819,45.5,1,"r1c2"
"104",35735539,9,21,15553,187.385542168675,2,"r1c2"
"105",35735542,1,9,1170,130,1,"r1c2"
"106",35771407,1,4,360,90,1,"r1c2"
"107",35771617,2,18,4401,163,2,"r1c2"
"108",35772780,1,10,1200,120,1,"r1c2"
"109",35774145,4,6,235,19.5833333333333,1,"r1c2"
"110",35807699,2,13,1484,67.4545454545455,1,"r1c2"
"111",35843780,1,15,2670,178,1,"r1c2"
"112",35843953,5,21,3735,103.75,1,"r1c2"
