"cell_ID","SC_obs","obs.richness","sampsize_obs","SC_95","richness_95","sampsize_95","SC_97","richness_97","sampsize_97","SC_98","richness_98","sampsize_98","square"
8038784,0.999942809889112,356,15524,0.984248447613339,173.768221289976,63,0.984248447613339,173.768221289976,63,0.984248447613339,173.768221289976,63,"r2c1"
8060580,0.999904948356865,367,5377,0.950364442439348,143.423179686859,22,0.973518650034679,173.080883537156,44,0.982069775646714,190.944825772426,66,"r2c1"
8082275,0.999948432268262,394,11748,0.977816043901384,160.403635673547,48,0.977816043901384,160.403635673547,48,0.977816043901384,160.403635673547,48,"r2c1"
8168901,0.999910335075687,384,18092,0.964440890145035,171.359004673314,73,0.964440890145035,171.359004673314,73,0.980957011432824,203.767309440801,146,"r2c1"
8176129,0.999906793283635,385,14202,0.969088092456041,158.508224187844,58,0.969088092456041,158.508224187844,58,0.982835440406727,187.824869151688,115,"r2c1"
8197815,0.999794567653427,372,9409,0.950367694029095,144.736714743717,38,0.973897958268655,171.877911536149,76,0.98163762615961,188.613755786554,114,"r2c1"
8205044,0.999871923835448,371,11084,0.954557539441287,146.227153226953,45,0.975994840205322,176.149545951475,90,0.983237320585259,194.529991595616,135,"r2c1"
8241305,0.999969085149702,369,23311,0.984325943285779,181.836445346807,94,0.984325943285779,181.836445346807,94,0.984325943285779,181.836445346807,94,"r2c1"
8248557,0.999862016715507,373,8042,0.95262005489289,154.070799243309,33,0.974946330356191,183.635901172909,65,0.982932843639682,202.057583862707,98,"r2c1"
8263121,0.999571966724227,351,2573,0.946749183955557,173.643936843744,42,0.96931060761637,203.245996030566,73,0.979048680584134,221.841219944299,104,"r2c1"
8356957,0.999943672185047,387,9893,0.961702750410435,180.65477713179,40,0.961702750410435,180.65477713179,40,0.980936453672359,213.239626525874,80,"r2c1"
8537922,0.999890400620184,379,8294,0.94468663642113,166.47049336934,34,0.972573849216377,198.810566640765,67,0.982138130832697,217.827547692489,101,"r2c1"
8617504,0.999835363836721,367,4754,0.93423946931807,151.616193270731,20,0.967331422385953,179.759484561179,39,0.978221000986588,195.992430165027,58,"r2c1"
8631948,0.999693415672875,372,4014,0.952221372923975,178.179152487466,49,0.97142634225937,204.057503021309,81,0.979780769407628,221.452312776686,114,"r2c1"
8631951,0.999897838026114,392,8780,0.955315630344133,159.347530209812,36,0.975573020710802,189.99476248678,71,0.98315470373318,209.512057975049,107,"r2c1"
8639179,0.999881967268973,412,11571,0.935645819955109,163.337854234831,47,0.965567653263531,201.91129421253,94,0.982840678112434,241.285121251416,187,"r2c1"
8668084,0.999767578760101,378,7210,0.953613701789318,176.616802476958,59,0.969135659648614,196.927540126131,88,0.981617157675145,222.336889186066,146,"r2c1"
8675237,0.999691027601014,354,2329,0.953826585035008,185.209849784845,38,0.96941938299312,206.145562146595,57,0.979948429636412,226.41442735876,85,"r2c1"
8689764,0.999949610374063,409,11120,0.952402445263591,196.85135973543,45,0.977293622325354,233.478362754174,90,0.977293622325354,233.478362754174,90,"r2c1"
8725897,0.999835277322216,401,7284,0.945510187464683,189.222074626034,59,0.973693240959704,227.835467279205,118,0.979162826177303,239.740932055073,147,"r2c1"
8819831,0.998815677808892,379,2347,0.95223618950514,182.095284296217,76,0.969643741254567,210.336487484828,123,0.980209665716474,236.213374995318,190,"r2c1"
8841511,0.999810823919085,421,7903,0.956611538135682,195.478893205227,64,0.970726573416087,218.380889688967,96,0.978140863455064,234.656178684905,128,"r2c1"
8855966,0.999237850477525,373,4483,0.948570864370368,178.724674131044,91,0.971025814405966,211.867159871432,163,0.980351808977919,232.458366915869,235,"r2c1"
8884866,0.999635090926123,392,3805,0.952025834221815,183.601445645121,47,0.970159428289426,210.535792309568,77,0.981019134394627,236.438404308777,123,"r2c1"
8884867,0.999196745672467,383,1471,0.947804966072322,202.257048523876,36,0.970217547060038,231.137941215434,60,0.980684213500997,252.313803551728,89,"r2c1"
8884877,0.999893610731063,414,12615,0.950323358725143,190.653453451707,51,0.976884965832547,227.644878784795,102,0.976884965832547,227.644878784795,102,"r2c1"
8906556,0.999526744040771,376,4518,0.95105776794779,154.87252833438,55,0.968031539448146,181.484790717672,92,0.981063790263137,213.633402814087,164,"r2c1"
8913784,0.998994054112469,354,2358,0.947045447904672,161.162547247361,58,0.969245960094788,193.782246998846,105,0.980043543259716,218.136653686323,162,"r2c1"
8921014,0.99956641963622,365,3289,0.954597235923615,195.263622235391,67,0.972042431966077,220.165923259991,107,0.979779514074698,236.423480540246,146,"r2c1"
9123375,0.999891471938388,369,9385,0.942094365275295,145.773633471718,38,0.970892406904373,177.603560999977,76,0.980494904269315,196.239770507322,114,"r2c1"
9130603,0.999848265983396,378,7072,0.966381400929643,176.290373491977,58,0.966381400929643,176.290373491977,58,0.982724611441631,207.840966246492,115,"r2c1"
9130611,0.99965561037363,351,6122,0.944677337778322,135.106543863773,50,0.971003322883988,168.492005058741,99,0.98108549471529,188.457653367814,149,"r2c1"
9130627,0.999962366261086,462,20238,0.979165939112057,240.007956365029,82,0.979165939112057,240.007956365029,82,0.979165939112057,240.007956365029,82,"r2c1"
9137840,0.999965088776918,438,17065,0.981305183656499,216.396146129889,69,0.981305183656499,216.396146129889,69,0.981305183656499,216.396146129889,69,"r2c1"
9137853,0.999595734206539,367,3320,0.95174774305199,200.707192664219,67,0.970882721015313,226.975633210732,108,0.979387725230102,243.780029761546,148,"r2c1"
9137856,0.999657055061869,372,6015,0.942295490417549,143.944912284593,49,0.968921968373996,175.998403413433,97,0.981222719945365,203.967294327958,170,"r2c1"
9145064,0.999933220944076,398,10013,0.966043079660159,177.228673533129,41,0.966043079660159,177.228673533129,41,0.980983549570159,208.774360809209,81,"r2c1"
9166761,0.999676983336413,354,4956,0.956504188167743,132.737052426424,40,0.969767002759027,148.166257485039,60,0.980665926457794,168.571348506249,100,"r2c1"
9802669,0.999313188231726,370,2178,0.954006835868088,182.495311025719,44,0.971489280273713,204.628590694588,71,0.980468577762542,223.336914948595,106,"r2c1"
9925545,0.998457683011328,396,1671,0.953637760993243,167.360374833419,41,0.969677402059167,192.751528389319,68,0.980205576908427,221.600848632398,115,"r2c1"
10091956,0.999664890273184,414,3777,0.958425997131798,195.675804143086,46,0.968948674903014,211.106052509168,61,0.979795449890488,233.183461721169,92,"r2c1"
