"cell_5km_scale","number_checklists","total_SR","total_duration","avg_duration","no_months","X6","X8","X7","X9","X11","X5","X10","X2","X3","X4","X1","X12","square"
6245029,45225,463,114187488,96.8356937146579,12,1924,2982,1566,6166,2755,8271,10674,1196,1933,3345,2192,2221,"r2c2ABB"
15215681,1356,463,1357882,63.3163293854332,12,64,103,129,93,140,109,71,62,132,56,365,32,"r3c2"
13180296,241,462,960780,149.584306398879,12,7,22,18,60,17,28,40,4,13,15,10,7,"r3c2"
8387941,20576,461,67757455,105.633677767766,12,293,449,286,644,3558,1564,1397,1646,1955,5457,1878,1449,"r2c1"
11339848,1700,461,3515329,114.88754166939,12,41,55,95,77,138,87,85,306,235,127,251,203,"r2c2AA"
12357579,3983,461,17842125,152.473337435266,12,236,205,192,218,478,360,362,596,343,294,351,348,"r2c2ABA"
12869975,1172,461,3694815,165.575397714542,12,23,52,66,14,41,178,98,99,51,182,206,162,"r2c2ABA"
14602474,206,461,795793,133.388032182367,6,25,46,34,49,32,0,20,0,0,0,0,0,"r3c2"
11144974,2785,459,8205353,141.269442005406,12,149,178,199,98,125,300,216,322,383,226,313,276,"r2c2AA"
12119487,916,458,2927057,147.043956596001,12,16,52,92,310,104,22,40,74,28,36,107,35,"r2c2ABB"
15201214,317,458,1902777,204.864018087855,12,21,25,31,88,48,13,58,2,7,5,3,16,"r3c2"
7110243,25076,457,87164408,118.739172545884,12,1393,1908,1361,2516,2365,2402,2466,1540,1736,2211,2954,2224,"r2c1"
11238814,2097,456,8854562,131.738830285808,12,91,76,85,98,225,169,377,246,214,130,190,196,"r2c2AA"
13093686,4451,456,10643323,129.488691526249,12,251,337,411,283,697,133,290,516,367,205,299,662,"r3c2"
11426469,3298,455,11564419,122.430513355283,12,148,130,134,89,153,201,192,586,541,161,616,347,"r2c2AA"
11383235,2901,455,8328687,127.531305985576,12,149,138,159,184,196,351,290,329,398,172,268,267,"r2c2ABA"
11744169,1411,455,5620368,162.928107606679,12,115,64,155,88,203,154,64,128,176,39,106,119,"r2c2ABA"
6252245,29047,455,85145958,105.452660468423,12,1107,1346,972,4900,2511,3732,8431,707,1411,1688,1303,939,"r2c2ABB"
12090597,958,455,6291682,180.613807951773,12,22,66,85,56,123,68,118,86,78,48,134,74,"r2c2ABB"
