"","abslat","urban2","hemisphere","Contrast","conf.low","conf.high","p.value"
"1","slope","Natural-Natural","northern-southern",0.0742761323575118,0.0665688366637861,0.0819834280512375,4.46908459193946e-79
"2","slope","Natural-Urban","northern-northern",-0.0286103897140869,-0.0347804822331272,-0.0224402971950467,1.06885851279178e-19
"3","slope","Natural-Urban","northern-southern",0.022271359882331,0.00524251348352046,0.0393002062811416,0.0103683632795733
"4","slope","Natural-Suburban","northern-northern",-0.0134712615773629,-0.0185689432800764,-0.00837357987464939,2.23844188092445e-07
"5","slope","Natural-Suburban","northern-southern",0.0428953200455519,0.0284912063188282,0.0572994337722757,5.37451410043138e-09
"6","slope","Natural-Urban","southern-northern",-0.102886522071599,-0.111928106229657,-0.0938449379135402,3.2030885943311e-109
"7","slope","Natural-Urban","southern-southern",-0.0520047724751808,-0.0702436054871181,-0.0337659394632434,2.30910730928137e-08
"8","slope","Natural-Suburban","southern-northern",-0.0877473939348747,-0.0961049043857396,-0.0793898834840099,2.165892056854e-93
"9","slope","Natural-Suburban","southern-southern",-0.0313808123119599,-0.0471902292923735,-0.0155713953315463,0.000100237108484904
"10","slope","Urban-Urban","northern-southern",0.050881749596418,0.0332084766349295,0.0685550225579065,1.68736947768114e-08
"11","slope","Urban-Suburban","northern-northern",0.015139128136724,0.00817995736567682,0.0220982989077713,2.01530956538185e-05
"12","slope","Urban-Suburban","northern-southern",0.0715057097596389,0.0563458025222744,0.0866656169970033,2.51637095849859e-20
"13","slope","Urban-Suburban","southern-northern",-0.035742621459694,-0.0530725669315465,-0.0184126759878414,5.30155360529433e-05
"14","slope","Urban-Suburban","southern-southern",0.0206239601632209,-0.00130129740970801,0.0425492177361498,0.0652349507325201
"15","slope","Suburban-Suburban","northern-southern",0.0563665816229148,0.041604998440704,0.0711281648051256,7.40503248505229e-14
"16","slope","Natural-Natural","northern-southern",0.0756469478556719,0.0679225404695049,0.0833713552418389,1.3994591450353e-81
"17","slope","Natural-Urban","northern-northern",-0.0290726243359715,-0.0352575848452685,-0.0228876638266744,3.38327774722724e-20
"18","slope","Natural-Urban","northern-southern",0.0210659622901376,0.00399927828603653,0.0381326462942387,0.0155545719301753
"19","slope","Natural-Suburban","northern-northern",-0.016150912720347,-0.0212588741810633,-0.0110429512596307,5.81853889913145e-10
"20","slope","Natural-Suburban","northern-southern",0.0422784678170342,0.0278421613520891,0.0567147742819793,9.55397434282337e-09
"21","slope","Natural-Urban","southern-northern",-0.104719572191643,-0.11378200764658,-0.0956571367367067,1.55307796423908e-112
"22","slope","Natural-Urban","southern-southern",-0.0545809855655343,-0.0728604522289871,-0.0363015189020814,4.89616477137252e-09
"23","slope","Natural-Suburban","southern-northern",-0.0917978605760189,-0.100173187820886,-0.0834225333311518,1.55202024056878e-101
"24","slope","Natural-Suburban","southern-southern",-0.0333684800386377,-0.0492132843255432,-0.0175236757517322,3.6736375129028e-05
"25","slope","Urban-Urban","northern-southern",0.0501385866261091,0.0324252867910736,0.0678518864611447,2.915587558201e-08
"26","slope","Urban-Suburban","northern-northern",0.0129217116156245,0.00594681221875046,0.0198966110124985,0.000282629019824153
"27","slope","Urban-Suburban","northern-southern",0.0713510921530057,0.0561566839904483,0.0865455003155631,3.68254619535976e-20
"28","slope","Urban-Suburban","southern-northern",-0.0372168750104847,-0.0545856394221249,-0.0198481105988444,2.67886278631193e-05
"29","slope","Urban-Suburban","southern-southern",0.0212125055268965,-0.000761830399838827,0.0431868414536319,0.0584885379215029
"30","slope","Suburban-Suburban","northern-southern",0.0584293805373812,0.0436347383173868,0.0732240227573756,1.02081933369465e-14
"31","slope","Natural-Natural","northern-southern",0.0760218970018772,0.0683434033974148,0.0837003906063397,2.51599872020477e-83
"32","slope","Natural-Urban","northern-northern",-0.0268526066492777,-0.0329984343489473,-0.0207067789496081,1.1472696858852e-17
"33","slope","Natural-Urban","northern-southern",0.0219560780965748,0.00498996543798863,0.0389221907551609,0.0112012806390637
"34","slope","Natural-Suburban","northern-northern",-0.0120382048500397,-0.0171186319014087,-0.0069577777986707,3.42667900125013e-06
"35","slope","Natural-Suburban","northern-southern",0.0425575184797214,0.0282046679292419,0.0569103690302009,6.25170630906124e-09
"36","slope","Natural-Urban","southern-northern",-0.102874503651155,-0.111881736971432,-0.0938672703308777,5.22745431457154e-110
"37","slope","Natural-Urban","southern-southern",-0.0540658189053025,-0.0722377250994772,-0.0358939127111278,5.55078338747593e-09
"38","slope","Natural-Suburban","southern-northern",-0.088060101851917,-0.0963862495758126,-0.0797339541280213,9.94732606739565e-95
"39","slope","Natural-Suburban","southern-southern",-0.0334643785221559,-0.0492170785246735,-0.0177116785196383,3.13884994980289e-05
"40","slope","Urban-Urban","northern-southern",0.0488086847458524,0.0312000048861297,0.0664173646055752,5.58956989740441e-08
"41","slope","Urban-Suburban","northern-northern",0.014814401799238,0.00788163356495811,0.0217471700335178,2.81849378409806e-05
"42","slope","Urban-Suburban","northern-southern",0.069410125128999,0.0543050047421353,0.0845152455158628,2.25830023637256e-19
"43","slope","Urban-Suburban","southern-northern",-0.0339942829466145,-0.0512615988040588,-0.0167269670891701,0.000114223120106501
"44","slope","Urban-Suburban","southern-southern",0.0206014403831466,-0.00124395101235805,0.0424468317786513,0.0645496812937364
"45","slope","Suburban-Suburban","northern-southern",0.0545957233297611,0.0398874159508473,0.0693040307086748,3.54417271589407e-13
"46","slope","Natural-Natural","northern-southern",0.0769248090621154,0.0692148280936574,0.0846347900305734,1.39106974724913e-84
"47","slope","Natural-Urban","northern-northern",-0.0286001708203638,-0.0347736322728799,-0.0224267093678476,1.1523211654474e-19
"48","slope","Natural-Urban","northern-southern",0.0261803285079352,0.00914465755950721,0.0432159994563632,0.00259602712784024
"49","slope","Natural-Suburban","northern-northern",-0.0126744460515709,-0.0177734248193189,-0.00757546728382291,1.11055787028105e-06
"50","slope","Natural-Suburban","northern-southern",0.041704877559554,0.0272902132063628,0.0561195419127453,1.43508385688121e-08
"51","slope","Natural-Urban","southern-northern",-0.105524979882479,-0.114570714373216,-0.0964792453917427,1.2270107194586e-114
"52","slope","Natural-Urban","southern-southern",-0.0507444805541802,-0.0689903841466083,-0.032498576961752,5.0468693299572e-08
"53","slope","Natural-Suburban","southern-northern",-0.0895992551136863,-0.0979585603177138,-0.0812399499096588,3.20613079620812e-97
"54","slope","Natural-Suburban","southern-southern",-0.0352199315025613,-0.0510420749198223,-0.0193977880853003,1.28729639243422e-05
"55","slope","Urban-Urban","northern-southern",0.054780499328299,0.0371002690366381,0.0724607296199598,1.27175450454678e-09
"56","slope","Urban-Suburban","northern-northern",0.0159257247687928,0.00896393245374183,0.0228875170838438,7.36263624435587e-06
"57","slope","Urban-Suburban","northern-southern",0.0703050483799178,0.0551339292162112,0.0854761675436244,1.12418987049743e-19
"58","slope","Urban-Suburban","southern-northern",-0.0388547745595061,-0.0561915524741109,-0.0215179966449014,1.12310915319303e-05
"59","slope","Urban-Suburban","southern-southern",0.0155245490516188,-0.00641206799487977,0.0374611660981175,0.165413917585591
"60","slope","Suburban-Suburban","northern-southern",0.054379323611125,0.0396076165048156,0.0691510307174343,5.51095975565772e-13
"61","slope","Natural-Natural","northern-southern",0.0753026290761898,0.0675998766117592,0.0830053815406205,2.65003591911005e-81
"62","slope","Natural-Urban","northern-northern",-0.0269404428056099,-0.0331077995617443,-0.0207730860494755,1.16709224604172e-17
"63","slope","Natural-Urban","northern-southern",0.0203213262664631,0.00330523385426366,0.0373374186786625,0.0192509493182013
"64","slope","Natural-Suburban","northern-northern",-0.0140362906085106,-0.0191292896262447,-0.00894329159077645,6.64913977759569e-08
"65","slope","Natural-Suburban","northern-southern",0.0372044288060947,0.0228084743649494,0.0516003832472401,4.10000490219956e-07
"66","slope","Natural-Urban","southern-northern",-0.1022430718818,-0.111279314779971,-0.0932068289836287,5.09337025119491e-108
"67","slope","Natural-Urban","southern-southern",-0.0549813028097268,-0.0732057119899781,-0.0367568936294754,3.39334421342458e-09
"68","slope","Natural-Suburban","southern-northern",-0.0893389196847004,-0.0976897675791864,-0.0809880717902145,7.31204529081989e-97
"69","slope","Natural-Suburban","southern-southern",-0.0380982002700951,-0.0538973025641889,-0.0222990979760014,2.29563857003076e-06
"70","slope","Urban-Urban","northern-southern",0.047261769072073,0.029601561047163,0.064921977096983,1.57075668777612e-07
"71","slope","Urban-Suburban","northern-northern",0.0129041521970993,0.00594928442892048,0.0198590199652782,0.000276656909989147
"72","slope","Urban-Suburban","northern-southern",0.0641448716117046,0.0489936290721335,0.0792961141512757,1.10570904706562e-16
"73","slope","Urban-Suburban","southern-northern",-0.0343576168749737,-0.0516746769812372,-0.0170405567687101,0.000100977264527555
"74","slope","Urban-Suburban","southern-southern",0.0168831025396316,-0.00502658199777334,0.0387927870770366,0.130960500217449
"75","slope","Suburban-Suburban","northern-southern",0.0512407194146053,0.0364882579360919,0.0659931808931187,1.01029171727873e-11
"76","slope","Natural-Natural","northern-southern",0.0766411034763644,0.0689307746453355,0.0843514323073934,5.69209147600198e-84
"77","slope","Natural-Urban","northern-northern",-0.0255791600021618,-0.031751250322153,-0.0194070696821705,4.73472949378519e-16
"78","slope","Natural-Urban","northern-southern",0.0225152558680783,0.00548594368800757,0.039544568048149,0.00956161698821271
"79","slope","Natural-Suburban","northern-northern",-0.0137605207221721,-0.0188593841316062,-0.00866165731273809,1.23478310684772e-07
"80","slope","Natural-Suburban","northern-southern",0.041000697592078,0.0265923981216613,0.0554089970624948,2.4619373549065e-08
"81","slope","Natural-Urban","southern-northern",-0.102220263478526,-0.111265222009541,-0.0931753049475112,9.04307371695091e-108
"82","slope","Natural-Urban","southern-southern",-0.0541258476082862,-0.0723642685719416,-0.0358874266446308,6.06500527331874e-09
"83","slope","Natural-Suburban","southern-northern",-0.0904016241985366,-0.0987604112983533,-0.0820428370987199,6.21817689992813e-99
"84","slope","Natural-Suburban","southern-southern",-0.0356404058842864,-0.0514545676681044,-0.0198262441004684,1.00292859105599e-05
"85","slope","Urban-Urban","northern-southern",0.04809441587024,0.0304209863403182,0.0657678454001618,9.69139321571267e-08
"86","slope","Urban-Suburban","northern-northern",0.0118186392799896,0.00485822421466387,0.0187790543453154,0.000875480310429469
"87","slope","Urban-Suburban","northern-southern",0.0665798575942398,0.0514155681005814,0.0817441470878981,7.98316844545763e-18
"88","slope","Urban-Suburban","southern-northern",-0.0362757765902504,-0.0536068406815501,-0.0189447124989507,4.09723088423219e-05
"89","slope","Urban-Suburban","southern-southern",0.0184854417239998,-0.00344203678767901,0.0404129202356786,0.0984697307896039
"90","slope","Suburban-Suburban","northern-southern",0.0547612183142502,0.0399963277255461,0.0695261089029542,3.70247208345406e-13
"91","slope","Natural-Natural","northern-southern",0.0766501734844197,0.0689447147000243,0.084355632268815,4.2942841899802e-84
"92","slope","Natural-Urban","northern-northern",-0.0277110406684924,-0.0338794436448815,-0.0215426376921032,1.37984586089337e-18
